Age,Income,Membership,Tenure,TotalSpend,TotalTransactions,AvgOrderValue,PurchaseFrequency,Customer_Segment,Segment
57,113999,,0.1,132.3,1,132.3,10.0,0,0
21,111818,,2.3,3176.75,25,127.07,10.9,0,0
19,97837,,3.9,4217.6,32,131.8,8.2,1,1
23,49788,,3.0,163.26,3,54.42,1.0,1,1
71,48436,,0.2,64.3,1,64.3,5.0,2,2
59,206840,,0.3,2350.32,8,293.79,26.7,0,0
21,66490,,6.2,4998.78,54,92.57,8.7,1,1
71,46830,,1.6,159.8,2,79.9,1.2,2,2
46,61711,,4.9,235.89,3,78.63,0.6,1,1
35,72597,,4.0,806.88,8,100.86,2.0,1,1
43,77616,,4.7,1316.14,14,94.01,3.0,1,1
61,98324,,0.3,353.67,3,117.89,10.0,0,0
51,46184,,1.2,304.32,4,76.08,3.3,2,2
27,59208,,4.1,393.05,7,56.15,1.7,1,1
53,31040,,0.7,268.76,4,67.19,5.7,2,2
31,48373,,5.0,575.36,8,71.92,1.6,1,1
48,29960,,6.4,2218.15,37,59.95,5.8,2,2
65,31265,,3.4,982.26,18,54.57,5.3,2,2
32,15000,,2.5,93.81,3,31.27,1.2,1,1
25,75669,,0.5,385.35,5,77.07,10.0,1,1
31,26418,,1.4,149.16,4,37.29,2.9,1,1
40,51798,,6.4,2576.7,35,73.62,5.5,1,1
74,81867,,1.6,567.21,7,81.03,4.4,2,2
57,39614,,0.7,88.06,2,44.03,2.9,2,2
38,53961,,6.0,1221.92,16,76.37,2.7,1,1
33,62427,,4.0,466.92,6,77.82,1.5,1,1
62,51419,,0.7,168.66,2,84.33,2.9,2,2
35,38794,,3.5,287.72,4,71.93,1.1,1,1
64,49928,,4.2,725.76,9,80.64,2.1,2,2
70,41626,,3.3,1004.19,17,59.07,5.2,2,2
41,35530,,4.5,239.25,5,47.85,1.1,1,1
43,94646,,1.8,529.83,7,75.69,3.9,0,0
42,61540,,0.3,474.15,5,94.83,16.7,1,1
62,34597,,6.2,705.0,12,58.75,1.9,2,2
58,39110,,4.3,139.8,3,46.6,0.7,2,2
46,35528,,1.2,110.6,2,55.3,1.7,1,1
32,50299,,0.2,80.85,1,80.85,5.0,1,1
62,47118,,1.5,301.6,4,75.4,2.7,2,2
18,75671,,2.8,1950.16,19,102.64,6.8,1,1
42,54813,,6.3,1234.08,16,77.13,2.5,1,1
24,75668,,4.7,1631.91,19,85.89,4.0,1,1
26,65532,,1.9,212.64,3,70.88,1.6,1,1
41,59536,,5.4,670.01,11,60.91,2.0,1,1
18,41585,,4.5,349.02,7,49.86,1.6,1,1
61,66596,,3.4,437.57,7,62.51,2.1,2,2
25,35949,,0.5,50.49,1,50.49,2.0,1,1
41,56137,,3.9,549.27,9,61.03,2.3,1,1
28,66621,,0.9,521.28,9,57.92,10.0,1,1
68,57360,,5.5,378.56,7,54.08,1.3,2,2
34,70857,,1.1,733.5,9,81.5,8.2,1,1
25,42717,,1.8,250.04,4,62.51,2.2,1,1
52,42861,,2.2,222.09,3,74.03,1.4,2,2
52,87933,,5.0,3324.24,36,92.34,7.2,0,0
50,93378,,2.9,3860.4,30,128.68,10.3,0,0
22,79319,,5.6,3920.8,52,75.4,9.3,1,1
59,15000,,2.4,328.3,7,46.9,2.9,2,2
56,75218,,1.8,9840.64,62,158.72,34.4,2,2
75,90743,,5.8,2390.4,24,99.6,4.1,2,2
58,17132,,5.4,1117.37,29,38.53,5.4,2,2
45,75935,,4.7,23615.48,161,146.68,34.3,1,1
24,65011,,1.1,590.31,7,84.33,6.4,1,1
26,82579,,1.6,523.28,8,65.41,5.0,1,1
25,40289,,6.2,7497.4,95,78.92,15.3,1,1
29,44446,,2.5,372.75,5,74.55,2.0,1,1
51,80412,,4.4,3282.36,34,96.54,7.7,2,2
50,36887,,2.1,424.8,6,70.8,2.9,2,2
65,130056,,2.4,18118.6,73,248.2,30.4,0,0
72,80889,,2.1,810.12,12,67.51,5.7,2,2
40,68797,,2.0,1296.54,14,92.61,7.0,1,1
41,62903,,6.2,1353.88,17,79.64,2.7,1,1
54,48743,,5.7,3132.8,44,71.2,7.7,2,2
52,34387,,4.8,349.92,8,43.74,1.7,2,2
61,70834,,3.7,590.04,9,65.56,2.4,2,2
57,58676,,6.0,3364.14,38,88.53,6.3,2,2
39,30688,,5.1,332.6,5,66.52,1.0,1,1
44,27360,,5.6,509.08,11,46.28,2.0,1,1
52,20297,,4.9,683.24,19,35.96,3.9,2,2
18,34452,,6.0,247.04,4,61.76,0.7,1,1
52,44787,,3.9,266.4,5,53.28,1.3,2,2
54,63454,,3.8,653.52,8,81.69,2.1,2,2
64,57867,,3.5,299.15,5,59.83,1.4,2,2
31,85662,,5.1,11671.66,77,151.58,15.1,1,1
20,82594,,0.7,1186.08,8,148.26,11.4,1,1
18,52594,,5.3,3471.89,47,73.87,8.9,1,1
22,20641,,2.3,131.19,3,43.73,1.3,1,1
43,38803,,5.6,3060.18,54,56.67,9.6,1,1
72,56238,,3.3,1017.6,12,84.8,3.6,2,2
31,61023,,3.5,1633.8,21,77.8,6.0,1,1
56,56905,,5.3,2294.93,31,74.03,5.8,2,2
44,27601,,3.3,389.04,6,64.84,1.8,1,1
26,54893,,2.2,1202.46,21,57.26,9.5,1,1
32,45560,,0.6,135.58,2,67.79,3.3,1,1
32,125635,,6.1,12433.48,62,200.54,10.2,0,0
43,80134,,4.8,1695.87,27,62.81,5.6,1,1
59,42204,,4.1,429.78,6,71.63,1.5,2,2
30,88280,,4.9,3311.13,37,89.49,7.6,1,1
68,72994,,4.7,2126.52,22,96.66,4.7,2,2
49,47563,,0.6,70.37,1,70.37,1.7,2,2
56,66373,,0.8,248.25,3,82.75,3.8,2,2
66,21684,,3.7,545.27,11,49.57,3.0,2,2
69,51672,,4.8,478.17,7,68.31,1.5,2,2
49,58779,,2.0,276.4,4,69.1,2.0,2,2
21,53362,,6.0,765.44,13,58.88,2.2,1,1
47,46395,,1.2,229.32,3,76.44,2.5,2,2
54,72389,,5.1,2851.96,41,69.56,8.0,2,2
40,53407,,1.0,171.42,2,85.71,2.0,1,1
56,82135,,1.6,810.45,9,90.05,5.6,2,2
62,74829,,2.8,1277.22,14,91.23,5.0,2,2
32,65737,,3.2,721.98,9,80.22,2.8,1,1
60,122517,,1.9,8845.65,45,196.57,23.7,0,0
46,59938,,1.3,222.69,3,74.23,2.3,1,1
53,81052,,6.3,2906.88,32,90.84,5.1,2,2
30,75713,,5.7,1374.56,16,85.91,2.8,1,1
49,72931,,4.0,1424.28,22,64.74,5.5,2,2
24,180707,,5.0,32234.16,84,383.74,16.8,0,0
68,24561,,2.8,433.51,7,61.93,2.5,2,2
39,73527,,4.7,661.2,10,66.12,2.1,1,1
45,54370,,1.8,712.3,10,71.23,5.6,1,1
19,164567,,1.1,7580.16,24,315.84,21.8,0,0
59,37021,,4.8,212.16,4,53.04,0.8,2,2
62,83538,,5.6,3892.13,41,94.93,7.3,2,2
74,62877,,1.5,78.77,1,78.77,0.7,2,2
70,77891,,5.0,6080.34,62,98.07,12.4,2,2
23,41115,,4.0,675.09,9,75.01,2.2,1,1
45,104264,,6.0,16995.96,108,157.37,18.0,0,0
45,126315,,6.3,12689.6,88,144.2,14.0,0,0
61,95006,,4.2,1823.81,19,95.99,4.5,0,0
61,99381,,4.3,2751.12,24,114.63,5.6,0,0
37,45992,,5.3,3130.0,50,62.6,9.4,1,1
47,58373,,6.1,2188.8,32,68.4,5.2,2,2
28,50595,,1.3,397.2,6,66.2,4.6,1,1
75,42710,,2.1,396.78,6,66.13,2.9,2,2
72,48039,,2.4,189.87,3,63.29,1.2,2,2
45,171190,,0.6,5484.8,20,274.24,33.3,0,0
42,53866,,1.6,237.16,4,59.29,2.5,1,1
56,89723,,1.8,1592.64,14,113.76,7.8,0,0
50,39571,,4.8,431.1,9,47.9,1.9,2,2
18,93831,,1.9,492.9,5,98.58,2.6,1,1
74,44446,,3.1,265.32,4,66.33,1.3,2,2
44,72461,,6.4,2101.68,24,87.57,3.8,1,1
74,68262,,4.3,251.88,4,62.97,0.9,2,2
69,27496,,2.0,263.15,5,52.63,2.5,2,2
30,66331,,4.2,1200.45,15,80.03,3.6,1,1
58,30058,,1.6,665.6,10,66.56,6.2,2,2
20,36411,,1.4,189.24,4,47.31,2.9,1,1
56,96450,,2.6,5248.92,34,154.38,13.1,0,0
23,45873,,1.0,255.35,5,51.07,5.0,1,1
25,51581,,2.7,363.95,5,72.79,1.9,1,1
44,46126,,5.6,507.15,7,72.45,1.2,1,1
26,34177,,3.0,162.18,3,54.06,1.0,1,1
54,21629,,1.3,170.7,3,56.9,2.3,2,2
50,87986,,1.8,354.96,4,88.74,2.2,0,0
68,99222,,2.9,6590.4,48,137.3,16.6,0,0
59,48009,,3.4,630.85,11,57.35,3.2,2,2
61,49522,,4.4,2816.9,34,82.85,7.7,2,2
41,28805,,5.6,117.66,3,39.22,0.5,1,1
32,46390,,1.5,140.73,3,46.91,2.0,1,1
71,80648,,5.0,2773.65,41,67.65,8.2,2,2
49,51407,,4.3,440.93,7,62.99,1.6,2,2
49,125505,,2.6,6424.44,33,194.68,12.7,0,0
41,49417,,1.2,150.14,2,75.07,1.7,1,1
58,132519,,4.9,12085.35,69,175.15,14.1,0,0
69,63952,,1.5,1186.12,13,91.24,8.7,2,2
66,27533,,3.3,429.66,7,61.38,2.1,2,2
66,62623,,2.8,4226.5,50,84.53,17.9,2,2
75,39677,,4.7,393.04,8,49.13,1.7,2,2
69,40137,,3.9,483.12,9,53.68,2.3,2,2
29,34377,,1.7,130.72,2,65.36,1.2,1,1
56,52879,,4.9,778.08,12,64.84,2.4,2,2
19,87065,,4.5,2014.8,23,87.6,5.1,1,1
20,38453,,3.9,4347.47,61,71.27,15.6,1,1
66,56074,,0.4,59.9,1,59.9,2.5,2,2
54,81917,,6.2,9327.6,90,103.64,14.5,2,2
66,52270,,0.3,432.95,5,86.59,16.7,2,2
73,38590,,5.2,1468.32,28,52.44,5.4,2,2
34,81928,,1.5,3084.4,22,140.2,14.7,1,1
66,52989,,0.1,50.63,1,50.63,10.0,2,2
19,45923,,0.3,77.29,1,77.29,3.3,1,1
19,38574,,0.5,55.48,1,55.48,2.0,1,1
45,102703,,5.8,2207.94,21,105.14,3.6,0,0
71,45903,,4.9,489.92,8,61.24,1.6,2,2
40,53754,,3.3,284.04,4,71.01,1.2,1,1
54,84576,,5.9,2385.54,29,82.26,4.9,2,2
49,36896,,3.6,98.54,2,49.27,0.6,2,2
50,131567,,2.2,15995.07,63,253.89,28.6,0,0
18,68139,,0.1,92.41,1,92.41,10.0,1,1
36,28491,,5.2,629.2,13,48.4,2.5,1,1
19,28947,,6.3,745.28,16,46.58,2.5,1,1
70,107015,,1.1,614.25,7,87.75,6.4,0,0
61,83145,,6.3,1278.06,17,75.18,2.7,2,2
43,21578,,1.6,219.6,4,54.9,2.5,1,1
49,158983,,3.8,36176.34,102,354.67,26.8,0,0
23,52869,,1.3,206.01,3,68.67,2.3,1,1
49,70006,,1.9,1153.08,18,64.06,9.5,2,2
72,31760,,6.4,211.8,5,42.36,0.8,2,2
21,69968,,2.7,3819.2,28,136.4,10.4,1,1
72,90502,,2.2,421.98,6,70.33,2.7,2,2
28,100796,,4.0,2413.11,21,114.91,5.2,0,0
73,63903,,0.4,279.0,3,93.0,7.5,2,2
34,37124,,1.4,352.24,7,50.32,5.0,1,1
55,41732,,6.1,714.28,14,51.02,2.3,2,2
41,55092,,5.6,2303.37,27,85.31,4.8,1,1
22,32948,,3.1,407.52,8,50.94,2.6,1,1
69,59819,,4.9,1352.61,21,64.41,4.3,2,2
51,81496,,2.2,925.86,13,71.22,5.9,2,2
23,82042,,5.1,2798.7,38,73.65,7.5,1,1
39,48438,,3.9,370.6,5,74.12,1.3,1,1
28,50600,,0.6,53.69,1,53.69,1.7,1,1
65,148070,,3.8,16868.28,78,216.26,20.5,0,0
33,78764,,2.7,6383.07,47,135.81,17.4,1,1
50,184821,,2.6,15112.44,42,359.82,16.2,0,0
26,37840,,4.1,783.9,15,52.26,3.7,1,1
23,51001,,1.7,231.4,4,57.85,2.4,1,1
33,103658,,4.3,7455.42,61,122.22,14.2,0,0
46,74533,,5.6,1279.46,14,91.39,2.5,1,1
20,26805,,5.4,285.3,5,57.06,0.9,1,1
37,41628,,3.6,292.55,5,58.51,1.4,1,1
53,46727,,4.3,1216.38,22,55.29,5.1,2,2
36,64744,,0.9,189.62,2,94.81,2.2,1,1
43,49151,,2.3,747.67,11,67.97,4.8,1,1
20,38097,,0.9,137.14,2,68.57,2.2,1,1
36,67138,,5.3,973.14,14,69.51,2.6,1,1
37,44354,,4.6,921.31,13,70.87,2.8,1,1
49,38689,,2.1,370.5,5,74.1,2.4,2,2
24,175843,,5.4,38680.32,112,345.36,20.7,0,0
69,194534,,4.5,23514.73,83,283.31,18.4,0,0
58,35413,,2.8,407.52,8,50.94,2.9,2,2
50,123843,,4.3,8121.36,39,208.24,9.1,0,0
57,67642,,4.3,2750.16,28,98.22,6.5,2,2
56,58778,,0.4,58.01,1,58.01,2.5,2,2
35,83958,,5.2,2815.05,35,80.43,6.7,1,1
57,82930,,4.6,8063.28,72,111.99,15.7,2,2
18,24066,,1.0,114.16,2,57.08,2.0,1,1
28,15000,,4.8,302.85,9,33.65,1.9,1,1
45,70862,,6.0,867.12,12,72.26,2.0,1,1
74,49429,,4.1,443.94,7,63.42,1.7,2,2
42,47933,,6.3,994.35,15,66.29,2.4,1,1
67,46951,,2.7,926.25,13,71.25,4.8,2,2
40,81275,,3.6,2974.14,31,95.94,8.6,1,1
48,55744,,5.7,384.02,7,54.86,1.2,2,2
47,61364,,2.5,559.02,6,93.17,2.4,2,2
59,61901,,0.1,80.99,1,80.99,10.0,2,2
52,50301,,0.4,65.04,1,65.04,2.5,2,2
24,64657,,4.5,1636.76,29,56.44,6.4,1,1
33,97944,,4.3,22676.19,93,243.83,21.6,0,0
43,150317,,5.2,22443.81,123,182.47,23.7,0,0
65,59692,,0.7,309.04,4,77.26,5.7,2,2
74,34289,,5.0,329.35,7,47.05,1.4,2,2
69,71571,,5.1,1065.57,11,96.87,2.2,2,2
66,31157,,5.3,1920.42,47,40.86,8.9,2,2
19,138461,,0.4,2218.23,7,316.89,17.5,0,0
18,43520,,5.5,161.52,3,53.84,0.5,1,1
65,49359,,5.7,374.46,6,62.41,1.1,2,2
29,80280,,3.8,6493.43,43,151.01,11.3,1,1
22,15000,,6.3,571.78,11,51.98,1.7,1,1
54,35719,,3.4,541.84,8,67.73,2.4,2,2
49,80407,,5.3,10791.4,79,136.6,14.9,2,2
72,65622,,1.2,187.17,3,62.39,2.5,2,2
26,52555,,2.6,326.52,6,54.42,2.3,1,1
58,73131,,2.8,1055.56,11,95.96,3.9,2,2
52,96251,,2.4,1099.32,12,91.61,5.0,0,0
36,58612,,0.8,66.63,1,66.63,1.2,1,1
65,104586,,2.7,1353.36,12,112.78,4.4,0,0
33,59310,,6.2,1436.02,19,75.58,3.1,1,1
20,83952,,3.8,2096.0,20,104.8,5.3,1,1
37,42375,,6.3,339.15,7,48.45,1.1,1,1
41,29672,,4.6,688.49,11,62.59,2.4,1,1
71,51857,,2.7,369.0,6,61.5,2.2,2,2
73,67686,,2.1,995.76,12,82.98,5.7,2,2
50,82805,,0.7,314.6,4,78.65,5.7,2,2
41,90869,,3.1,2907.3,30,96.91,9.7,0,0
69,40452,,5.4,3028.67,41,73.87,7.6,2,2
28,42360,,1.0,54.13,1,54.13,1.0,1,1
66,84847,,6.0,12317.6,80,153.97,13.3,2,2
25,156072,,4.5,17742.24,81,219.04,18.0,0,0
53,62100,,4.7,1305.76,16,81.61,3.4,2,2
55,35645,,4.0,237.32,4,59.33,1.0,2,2
57,62365,,1.6,363.68,4,90.92,2.5,2,2
37,78054,,1.9,578.9,7,82.7,3.7,1,1
52,69714,,6.1,1694.7,18,94.15,3.0,2,2
65,24502,,3.6,425.43,9,47.27,2.5,2,2
42,56370,,2.2,1273.64,17,74.92,7.7,1,1
52,60894,,0.2,66.76,1,66.76,5.0,2,2
42,43157,,2.7,361.36,8,45.17,3.0,1,1
46,82851,,0.7,93.04,1,93.04,1.4,0,0
35,59904,,1.4,834.24,11,75.84,7.9,1,1
63,144481,,4.7,8838.44,46,192.14,9.8,0,0
35,52242,,0.5,53.07,1,53.07,2.0,1,1
19,37121,,0.2,109.76,2,54.88,10.0,1,1
71,54458,,3.7,476.42,7,68.06,1.9,2,2
52,61020,,4.0,2001.46,23,87.02,5.8,2,2
33,91539,,1.4,5873.25,25,234.93,17.9,1,1
58,82087,,6.2,2544.92,28,90.89,4.5,2,2
53,126348,,5.3,8107.19,59,137.41,11.1,0,0
50,73119,,1.8,585.45,9,65.05,5.0,2,2
21,103195,,6.3,10830.96,84,128.94,13.3,0,0
50,48649,,2.5,293.76,4,73.44,1.6,2,2
31,55187,,0.7,68.14,1,68.14,1.4,1,1
38,59961,,3.4,589.04,8,73.63,2.4,1,1
65,41715,,5.6,945.75,15,63.05,2.7,2,2
37,38658,,1.6,127.58,2,63.79,1.2,1,1
73,66670,,4.4,1798.29,29,62.01,6.6,2,2
25,92412,,4.2,5211.0,50,104.22,11.9,1,1
24,72324,,2.9,537.44,8,67.18,2.8,1,1
20,48714,,3.1,121.78,2,60.89,0.6,1,1
34,99869,,3.4,4502.25,29,155.25,8.5,0,0
50,52638,,0.7,218.16,4,54.54,5.7,2,2
65,52263,,1.9,1041.44,16,65.09,8.4,2,2
29,135138,,1.2,4054.22,19,213.38,15.8,0,0
68,127329,,2.4,18558.4,70,265.12,29.2,0,0
39,131070,,5.5,2128.91,17,125.23,3.1,0,0
72,30317,,3.5,830.48,14,59.32,4.0,2,2
39,54224,,2.5,358.61,7,51.23,2.8,1,1
63,75353,,5.2,1436.16,22,65.28,4.2,2,2
47,73679,,3.6,710.08,8,88.76,2.2,2,2
55,45263,,1.7,694.17,9,77.13,5.3,2,2
55,115366,,1.3,715.26,6,119.21,4.6,0,0
62,52260,,6.4,3992.85,57,70.05,8.9,2,2
68,32945,,0.7,46.78,1,46.78,1.4,2,2
71,63295,,6.0,1981.68,23,86.16,3.8,2,2
25,42107,,4.5,2122.57,31,68.47,6.9,1,1
44,74717,,1.6,2294.88,24,95.62,15.0,1,1
44,34684,,2.8,502.24,8,62.78,2.9,1,1
51,58783,,5.5,6553.48,76,86.23,13.8,2,2
38,101139,,2.7,5891.04,36,163.64,13.3,0,0
47,42431,,2.0,339.25,5,67.85,2.5,2,2
50,70871,,1.2,680.68,7,97.24,5.8,2,2
45,44239,,0.6,144.64,2,72.32,3.3,1,1
64,177959,,6.1,51671.84,176,293.59,28.9,0,0
50,79393,,4.4,2660.7,30,88.69,6.8,2,2
22,54589,,1.5,332.56,4,83.14,2.7,1,1
65,63388,,3.6,1094.7,15,72.98,4.2,2,2
36,92569,,5.7,1283.1,15,85.54,2.6,0,0
21,50081,,3.5,540.99,9,60.11,2.6,1,1
52,55081,,2.0,848.3,10,84.83,5.0,2,2
66,27743,,1.9,98.62,2,49.31,1.1,2,2
34,74783,,0.3,67.41,1,67.41,3.3,1,1
61,46475,,0.2,64.47,1,64.47,5.0,2,2
45,107589,,3.0,7102.2,38,186.9,12.7,0,0
47,63541,,3.1,2187.9,30,72.93,9.7,2,2
46,65192,,4.7,1113.4,19,58.6,4.0,1,1
63,115954,,6.4,15036.55,89,168.95,13.9,0,0
70,85427,,0.8,197.0,2,98.5,2.5,2,2
23,86758,,0.1,217.78,2,108.89,20.0,1,1
52,46626,,0.5,56.53,1,56.53,2.0,2,2
58,87971,,2.5,2268.21,21,108.01,8.4,2,2
54,68748,,5.2,858.15,15,57.21,2.9,2,2
41,110732,,1.7,3262.2,20,163.11,11.8,0,0
46,77698,,1.0,188.26,2,94.13,2.0,1,1
66,27825,,0.2,63.54,1,63.54,5.0,2,2
63,34046,,3.9,208.4,5,41.68,1.3,2,2
70,15000,,3.3,198.3,6,33.05,1.8,2,2
48,48195,,4.5,1289.61,21,61.41,4.7,2,2
52,42614,,4.3,1554.3,22,70.65,5.1,2,2
50,117904,,4.4,6547.64,46,142.34,10.5,0,0
69,46783,,4.3,462.42,7,66.06,1.6,2,2
38,73745,,1.3,155.02,2,77.51,1.5,1,1
49,74946,,2.8,1735.68,24,72.32,8.6,2,2
40,20202,,1.4,227.8,4,56.95,2.9,1,1
50,60601,,5.8,9003.6,90,100.04,15.5,2,2
20,59737,,3.8,711.23,13,54.71,3.4,1,1
35,57585,,5.1,755.28,12,62.94,2.4,1,1
42,49086,,1.9,100.38,2,50.19,1.1,1,1
59,23964,,5.4,320.58,9,35.62,1.7,2,2
48,58180,,1.0,414.8,5,82.96,5.0,2,2
71,87308,,0.1,86.32,1,86.32,10.0,2,2
75,145365,,6.4,32199.12,162,198.76,25.3,0,0
20,66535,,0.4,78.58,1,78.58,2.5,1,1
57,119592,,2.0,4402.8,30,146.76,15.0,0,0
63,118317,,1.6,7660.4,44,174.1,27.5,0,0
41,24396,,1.8,239.25,5,47.85,2.8,1,1
67,42523,,1.5,636.9,10,63.69,6.7,2,2
49,59997,,0.9,146.04,2,73.02,2.2,2,2
64,55479,,5.0,2649.85,35,75.71,7.0,2,2
39,50119,,4.9,1118.8,20,55.94,4.1,1,1
40,57697,,4.7,1337.05,17,78.65,3.6,1,1
19,35719,,4.3,126.33,3,42.11,0.7,1,1
44,59835,,3.2,442.48,8,55.31,2.5,1,1
59,102191,,3.8,7447.68,54,137.92,14.2,0,0
19,69394,,0.3,416.61,3,138.87,10.0,1,1
43,22033,,3.2,999.6,20,49.98,6.2,1,1
34,35388,,5.6,184.92,4,46.23,0.7,1,1
57,85996,,1.5,3339.75,25,133.59,16.7,2,2
50,120074,,4.6,9022.9,46,196.15,10.0,0,0
26,50917,,0.7,83.43,1,83.43,1.4,1,1
60,33968,,0.6,58.75,1,58.75,1.7,2,2
71,102972,,4.8,7641.06,46,166.11,9.6,0,0
65,135620,,2.1,6212.71,31,200.41,14.8,0,0
56,63668,,2.2,330.1,5,66.02,2.3,2,2
46,124200,,3.6,19295.01,83,232.47,23.1,0,0
59,68979,,5.1,1734.32,28,61.94,5.5,2,2
72,169293,,6.1,28410.46,113,251.42,18.5,0,0
43,96689,,1.7,527.76,6,87.96,3.5,0,0
52,63144,,3.4,1001.88,11,91.08,3.2,2,2
67,46529,,3.2,414.4,7,59.2,2.2,2,2
42,88752,,2.1,4021.2,30,134.04,14.3,0,0
41,48444,,5.1,1517.62,26,58.37,5.1,1,1
30,57023,,2.8,1635.92,26,62.92,9.3,1,1
75,54953,,3.0,171.02,2,85.51,0.7,2,2
24,106558,,0.3,170.84,2,85.42,6.7,0,0
74,43779,,3.4,1336.54,17,78.62,5.0,2,2
53,62551,,5.5,490.32,8,61.29,1.5,2,2
62,70955,,2.0,139.08,2,69.54,1.0,2,2
37,42254,,6.2,977.84,17,57.52,2.7,1,1
18,67729,,3.6,1565.12,16,97.82,4.4,1,1
25,65557,,3.0,1510.2,18,83.9,6.0,1,1
63,70721,,3.3,232.83,3,77.61,0.9,2,2
33,29025,,2.1,85.34,2,42.67,1.0,1,1
31,62764,,4.5,1498.56,16,93.66,3.6,1,1
29,53104,,5.1,168.0,3,56.0,0.6,1,1
68,51411,,0.3,49.32,1,49.32,3.3,2,2
40,31790,,5.5,1396.98,26,53.73,4.7,1,1
32,47019,,0.3,58.88,1,58.88,3.3,1,1
