CustomerID,Age,Gender,Income,Location,Membership,RegistrationDate,Tenure,TotalSpend,TotalTransactions,AverageOrderValue,PurchaseFrequency,LastPurchaseDays,PreferredCategory,WebsiteVisits,AppUsageMinutes,LoginFrequency,WishlistCount,CartAbandonmentRate,EmailOpenRate,MarketingClicks,SatisfactionScore,Rating,SupportCalls,Complaints,Reviews,CustomerHealthScore,ChurnRisk,CustomerLifetimeValue,NextPurchaseAmount,NextPurchaseDays,DiscountUsed,CouponUsed,ReferralCount,PaymentMethod,DeviceType,ReturnRate,LoyaltyPoints
CUST-1024,38,Male,83365,Houston,Silver,2024-06-05,24.8,8416.65,33,255.05,1.33,306,Books,58,5,34,6,0.16,0.55,15,4,3.8,1,1,14,100,High,14265.25,297.69,18,15,9,1,Apple Pay,Mobile,0.13,100249
CUST-1025,45,Non-Binary,72955,Dallas,Basic,2024-07-24,23.2,5587.0,37,151.0,1.59,157,Home & Kitchen,16,0,13,10,0.19,0.43,24,4,3.8,2,0,9,100,High,9787.38,187.57,23,23,5,0,BNPL (Klarna/Afterpay),Mobile,0.01,54720
CUST-1026,21,Female,97899,Seattle,Silver,2025-09-16,9.5,6294.42,22,286.11,2.32,53,Electronics,38,245,29,10,0.24,0.09,30,5,4.7,0,0,1,100,Low,9040.19,260.56,8,17,13,1,BNPL (Klarna/Afterpay),Mobile,0.13,74683
CUST-1027,46,Female,24000,Phoenix,Silver,2021-08-05,58.8,17199.4,92,186.95,1.56,292,Sports & Outdoors,5,378,7,24,0.26,0.2,21,2,1.8,1,0,13,83,High,39513.66,192.6,20,29,9,1,Debit Card,Mobile,0.06,204942
CUST-1028,34,Female,33787,Austin,Silver,2023-02-10,40.6,26246.45,115,228.23,2.83,218,Electronics,36,76,18,4,0.15,0.17,9,4,4.3,4,0,14,91,High,49811.57,256.87,11,10,9,0,Debit Card,Desktop,0.15,314457
CUST-1029,19,Male,60167,Austin,Gold,2021-09-23,57.2,24590.72,112,219.56,1.96,11,Books,54,20,12,15,0.49,0.36,8,2,2.1,1,0,2,100,Low,55394.66,227.9,14,13,13,0,Debit Card,Desktop,0.07,368210
CUST-1030,43,Female,47636,Dallas,Basic,2026-03-18,3.4,927.76,4,231.94,1.18,42,Electronics,51,263,1,21,0.75,0.37,1,2,1.9,2,0,0,100,Low,2493.48,216.03,31,3,3,0,BNPL (Klarna/Afterpay),Desktop,0.18,9127
CUST-1031,37,Female,47213,Dallas,Basic,2024-02-17,28.4,11000.64,84,130.96,2.96,59,Beauty,9,78,32,22,0.32,0.54,13,5,5.0,0,0,12,100,Low,19009.35,121.3,13,17,2,0,Debit Card,Mobile,0.2,109156
CUST-1032,35,Female,76031,Phoenix,Basic,2022-05-07,49.8,33613.41,97,346.53,1.95,338,Beauty,57,0,35,15,0.36,0.44,17,3,3.3,3,3,7,59,High,69372.32,373.81,5,5,2,1,Debit Card,Mobile,0.17,335884
CUST-1033,70,Female,53345,Chicago,Platinum,2023-08-22,34.3,5983.47,27,221.61,0.79,303,Home & Kitchen,57,0,29,3,0.49,0.37,23,2,2.3,5,0,8,66,High,11249.16,218.38,43,27,10,2,BNPL (Klarna/Afterpay),Mobile,0.08,118319
CUST-1034,63,Female,95180,San Diego,Basic,2023-05-20,37.4,6538.5,25,261.54,0.67,324,Books,60,116,6,13,0.83,0.58,22,5,5.0,2,2,1,100,High,13133.08,256.24,39,13,2,0,Debit Card,Desktop,0.2,64735
CUST-1035,28,Male,49554,San Jose,Silver,2024-04-09,26.7,4229.65,29,145.85,1.09,299,Apparel,16,130,30,8,0.6,0.68,14,5,5.0,0,0,11,100,High,8082.39,181.59,31,9,3,5,Debit Card,Mobile,0.1,50305
CUST-1036,40,Female,93022,Seattle,Basic,2024-10-05,20.8,10986.37,53,207.29,2.55,203,Home & Kitchen,2,351,4,19,0.66,0.63,28,3,3.2,1,0,6,100,High,17247.13,227.68,17,42,8,1,Credit Card,Mobile,0.11,107763
CUST-1037,55,Male,65112,Chicago,Gold,2025-11-29,7.0,1568.16,9,174.24,1.29,107,Apparel,14,0,35,11,0.5,0.69,26,2,2.3,4,2,4,57,Medium,2651.85,200.14,22,1,0,1,PayPal,Desktop,0.18,23472
CUST-1038,43,Non-Binary,56298,Miami,Basic,2023-04-17,38.5,14987.2,95,157.76,2.47,8,Home & Kitchen,36,0,24,21,0.66,0.23,12,5,5.0,0,0,0,100,Low,28508.18,173.19,18,78,28,1,Debit Card,Tablet,0.08,145972
CUST-1039,44,Male,61451,New York,Basic,2026-03-17,3.5,1359.06,6,226.51,1.71,13,Apparel,58,198,30,11,0.6,0.57,30,4,4.1,2,1,5,100,Low,2958.16,201.51,17,2,0,1,PayPal,Mobile,0.24,13490
CUST-1040,41,Male,44252,Austin,Silver,2024-05-10,25.7,21903.75,75,292.05,2.92,184,Electronics,27,62,30,2,0.6,0.5,19,5,4.6,0,3,6,100,High,35131.38,256.26,13,27,26,2,Apple Pay,Desktop,0.2,261495
CUST-1041,56,Male,24000,Denver,Platinum,2025-08-09,10.7,2452.33,19,129.07,1.78,90,Electronics,44,67,1,11,0.69,0.22,10,1,1.0,0,0,3,80,Medium,4199.0,148.21,16,16,3,0,PayPal,Tablet,0.01,48246
CUST-1042,68,Female,67251,Austin,Basic,2023-06-30,36.0,12066.75,75,160.89,2.08,16,Electronics,32,218,44,3,0.47,0.69,2,5,4.9,0,0,10,100,Low,22616.81,161.27,16,64,55,0,Credit Card,Desktop,0.16,117467
CUST-1043,67,Female,60768,Denver,Basic,2025-03-18,15.4,8828.12,41,215.32,2.66,212,Home & Kitchen,54,212,7,10,0.42,0.52,11,5,5.0,1,0,2,100,High,13160.48,191.05,17,37,35,0,Credit Card,Mobile,0.22,86431
CUST-1044,66,Male,72476,Seattle,Platinum,2026-02-16,4.4,1642.96,8,205.37,1.82,91,Electronics,38,79,43,15,0.27,0.13,27,4,3.7,0,0,6,100,Medium,3293.56,243.99,19,0,0,0,Apple Pay,Desktop,0.08,32859
CUST-1045,39,Male,90142,Chicago,Silver,2025-08-12,10.6,4869.75,15,324.65,1.42,73,Books,42,46,34,6,0.38,0.37,5,3,3.2,2,0,2,100,Medium,7445.15,390.66,20,14,6,0,BNPL (Klarna/Afterpay),Mobile,0.11,57737
CUST-1046,36,Female,47359,San Jose,Silver,2023-09-09,33.7,12535.74,42,298.47,1.25,113,Beauty,40,0,14,9,0.81,0.59,24,3,2.9,0,1,5,97,Medium,22791.87,269.12,24,35,22,0,Credit Card,Mobile,0.11,148678
CUST-1047,22,Female,77910,San Jose,Silver,2024-01-04,29.9,34428.62,67,513.86,2.24,214,Home & Kitchen,9,166,11,25,0.81,0.37,22,5,4.7,3,0,12,100,High,57374.78,544.48,12,43,14,0,PayPal,Mobile,0.16,410993
CUST-1048,51,Female,54144,Miami,Basic,2024-06-16,24.5,18533.2,70,264.76,2.86,331,Apparel,17,0,17,6,0.23,0.16,24,4,3.7,2,0,14,100,High,29492.85,297.18,20,41,40,0,Debit Card,Mobile,0.11,183282
CUST-1049,37,Female,67192,San Jose,Basic,2026-02-06,4.8,465.69,3,155.23,0.62,119,Beauty,4,0,19,2,0.58,0.73,2,4,4.0,1,0,0,100,Medium,2012.26,159.87,56,2,2,0,PayPal,Tablet,0.11,4556
CUST-1050,69,Female,65201,Philadelphia,Basic,2022-05-31,49.0,16853.89,103,163.63,2.1,21,Apparel,47,224,34,16,0.56,0.3,29,3,2.9,0,0,10,100,Low,35558.9,143.4,8,84,77,2,Apple Pay,Mobile,0.17,164338
CUST-1051,40,Male,41629,Austin,Silver,2022-07-02,48.0,7618.26,39,195.34,0.81,363,Electronics,21,329,22,4,0.6,0.63,23,5,5.0,0,0,11,100,High,16736.52,167.46,31,12,3,5,PayPal,Mobile,0.21,90819
CUST-1052,24,Female,78652,Dallas,Silver,2021-09-25,57.2,20601.03,103,200.01,1.8,339,Home & Kitchen,58,67,39,12,0.22,0.18,22,4,4.2,0,0,13,100,High,46650.59,199.15,20,100,57,0,PayPal,Mobile,0.2,242212
CUST-1053,48,Female,47768,Houston,Silver,2024-05-09,25.7,7049.63,49,143.87,1.91,226,Beauty,51,195,33,16,0.41,0.16,6,5,4.7,0,0,11,100,High,12324.12,154.2,20,48,10,0,BNPL (Klarna/Afterpay),Mobile,0.11,82195
CUST-1054,32,Female,57151,Philadelphia,Basic,2026-04-08,2.8,933.16,4,233.29,1.43,48,Apparel,26,191,15,0,0.34,0.12,22,4,4.2,0,0,3,100,Low,2487.59,263.25,10,3,0,3,Credit Card,Mobile,0.21,9181
CUST-1055,53,Female,70004,San Jose,Basic,2023-06-17,36.5,31232.77,89,350.93,2.44,122,Home & Kitchen,9,0,27,20,0.7,0.37,3,5,5.0,1,0,7,100,High,56482.69,399.15,9,23,21,1,BNPL (Klarna/Afterpay),Tablet,0.02,311177
CUST-1056,51,Female,57861,Miami,Silver,2023-07-28,35.1,8487.42,51,166.42,1.45,241,Electronics,42,191,17,23,0.11,0.6,11,3,3.1,0,0,10,100,High,16193.85,150.34,19,41,11,2,Debit Card,Tablet,0.12,99799
CUST-1057,29,Female,70717,Los Angeles,Silver,2022-05-27,49.1,22892.8,80,286.16,1.63,151,Apparel,4,21,21,9,0.49,0.74,17,4,3.6,1,0,1,100,High,47810.23,342.34,17,47,27,2,Debit Card,Desktop,0.1,272363
CUST-1058,29,Female,93586,San Diego,Platinum,2024-05-10,25.7,7142.42,46,155.27,1.79,43,Books,29,0,39,5,0.51,0.27,2,3,2.8,1,1,5,100,Low,12466.59,174.82,15,22,19,5,Apple Pay,Desktop,0.2,141748
CUST-1059,21,Male,70510,Austin,Basic,2024-02-21,28.3,16614.5,70,237.35,2.47,348,Apparel,3,0,39,21,0.69,0.07,2,3,3.1,0,2,1,77,High,27565.13,259.2,8,17,16,0,Apple Pay,Desktop,0.06,165295
CUST-1060,25,Male,69978,Chicago,Silver,2023-08-14,34.6,28062.72,96,292.32,2.77,61,Home & Kitchen,51,228,14,19,0.31,0.69,15,3,2.7,0,0,14,100,Medium,49791.26,365.08,15,37,19,2,PayPal,Desktop,0.13,334902
CUST-1061,25,Non-Binary,71447,Miami,Basic,2025-08-21,10.3,2448.68,17,144.04,1.65,185,Sports & Outdoors,38,411,36,4,0.56,0.11,9,3,3.2,1,0,13,93,High,4369.13,169.87,20,16,11,0,BNPL (Klarna/Afterpay),Desktop,0.05,23686
CUST-1062,26,Male,68846,Denver,Gold,2026-02-08,4.7,859.2,8,107.4,1.7,78,Apparel,12,363,15,11,0.81,0.41,9,5,4.8,1,0,2,100,Medium,2443.33,118.14,19,2,2,3,PayPal,Mobile,0.16,12788
CUST-1063,56,Male,38791,San Jose,Gold,2026-03-09,3.7,410.54,2,205.27,0.54,6,Books,51,333,14,24,0.53,0.48,0,4,4.1,0,2,1,100,Low,1942.19,194.59,60,1,0,1,PayPal,Mobile,0.12,6108
CUST-1064,31,Male,48474,Chicago,Gold,2024-08-30,22.0,2658.6,28,94.95,1.27,177,Beauty,10,263,36,3,0.34,0.38,8,3,2.7,0,2,13,83,High,5122.12,90.14,27,10,9,1,PayPal,Desktop,0.12,39379
CUST-1065,50,Male,86194,Phoenix,Basic,2023-08-18,34.4,26821.62,98,273.69,2.85,259,Beauty,17,180,4,1,0.31,0.47,26,4,4.0,1,1,13,100,High,47543.78,247.3,7,51,23,0,Credit Card,Desktop,0.05,265666
CUST-1066,53,Male,45911,San Antonio,Basic,2023-08-04,34.9,11448.45,65,176.13,1.86,320,Books,41,0,7,12,0.38,0.74,17,5,5.0,0,0,1,100,High,21272.43,152.9,11,60,33,0,BNPL (Klarna/Afterpay),Desktop,0.03,111484
CUST-1067,57,Male,45430,San Antonio,Silver,2022-12-17,42.4,5696.08,52,109.54,1.23,173,Sports & Outdoors,55,250,37,9,0.46,0.06,10,4,4.4,1,1,0,94,High,12137.62,119.26,19,49,37,0,Credit Card,Desktop,0.04,65902
CUST-1068,58,Female,84330,Miami,Basic,2021-09-13,57.6,29476.44,147,200.52,2.55,125,Electronics,38,56,13,0,0.43,0.34,13,4,3.9,2,2,1,84,High,66108.17,227.05,12,122,67,0,PayPal,Mobile,0.13,288664
CUST-1069,52,Male,65286,Miami,Silver,2022-05-17,49.5,44346.12,124,357.63,2.51,136,Sports & Outdoors,32,126,18,17,0.32,0.71,9,4,4.2,2,0,15,100,High,91578.06,353.88,10,86,69,0,Debit Card,Desktop,0.24,527853
CUST-1070,69,Male,34059,New York,Platinum,2024-10-20,20.3,2015.86,14,143.99,0.69,227,Books,18,109,13,17,0.3,0.44,8,2,2.1,1,0,10,87,High,4173.4,174.53,40,1,1,0,Debit Card,Mobile,0.19,40267
CUST-1071,18,Non-Binary,41440,Chicago,Silver,2024-02-19,28.4,14875.48,76,195.73,2.68,244,Beauty,43,147,21,9,0.58,0.69,2,4,3.8,2,1,1,100,High,25176.81,237.87,18,63,23,3,Apple Pay,Desktop,0.0,175355
CUST-1072,54,Female,62269,Philadelphia,Basic,2024-10-27,20.1,11050.62,42,263.11,2.09,269,Beauty,58,435,33,14,0.3,0.62,10,2,2.0,0,0,10,96,High,17118.07,306.87,17,11,9,2,Debit Card,Desktop,0.13,109956
CUST-1073,23,Male,46370,Los Angeles,Platinum,2025-05-19,13.4,1637.68,22,74.44,1.64,128,Electronics,18,228,18,10,0.33,0.56,0,3,2.9,0,0,14,100,High,3594.87,72.41,17,22,9,1,Apple Pay,Mobile,0.06,31653
CUST-1074,26,Male,44626,San Diego,Platinum,2022-03-23,51.3,9276.84,73,127.08,1.42,360,Sports & Outdoors,60,275,43,6,0.67,0.53,19,5,4.7,1,1,2,100,High,20691.46,154.64,25,68,19,0,BNPL (Klarna/Afterpay),Mobile,0.17,182136
CUST-1075,63,Female,68809,Los Angeles,Basic,2023-07-22,35.3,5242.16,22,238.28,0.62,68,Sports & Outdoors,28,29,36,14,0.6,0.27,0,3,3.3,2,0,1,100,Medium,10597.33,242.92,52,1,0,5,Debit Card,Mobile,0.1,52371
CUST-1076,67,Male,70080,Austin,Silver,2022-04-30,50.0,10444.28,77,135.64,1.54,196,Beauty,57,193,25,2,0.61,0.51,17,2,2.3,0,3,12,64,High,22283.74,143.99,22,0,0,4,Debit Card,Desktop,0.14,125331
CUST-1077,52,Male,66280,Houston,Basic,2025-01-11,17.6,1646.4,15,109.76,0.85,97,Books,50,0,43,13,0.56,0.71,28,1,1.0,0,0,1,87,Medium,3555.08,104.04,28,6,6,2,Credit Card,Mobile,0.25,16164
CUST-1078,32,Female,84193,Seattle,Basic,2023-03-10,39.7,27983.38,79,354.22,1.99,345,Home & Kitchen,17,73,43,16,0.27,0.26,1,4,4.1,2,0,13,100,High,52627.97,379.84,9,48,33,0,Debit Card,Mobile,0.07,277433
CUST-1079,29,Female,34691,San Diego,Gold,2025-01-24,17.2,1935.36,21,92.16,1.22,363,Apparel,53,29,36,13,0.83,0.44,4,3,2.8,0,0,14,100,High,4128.86,109.56,21,21,19,1,Credit Card,Mobile,0.19,27980
CUST-1080,64,Female,71697,Houston,Basic,2023-09-24,33.2,20950.93,91,230.23,2.74,156,Electronics,15,379,8,23,0.85,0.39,7,4,4.2,0,0,10,100,High,36941.99,267.11,9,45,19,0,BNPL (Klarna/Afterpay),Desktop,0.12,207259
CUST-1081,69,Non-Binary,76331,San Diego,Gold,2022-02-23,52.2,53851.55,145,371.39,2.78,190,Home & Kitchen,28,0,15,23,0.21,0.23,29,4,4.2,0,0,7,100,High,113915.11,372.11,17,86,32,1,Debit Card,Tablet,0.16,803473
CUST-1082,49,Male,86740,Seattle,Basic,2021-12-16,54.5,9040.84,46,196.54,0.84,280,Beauty,13,277,42,1,0.49,0.64,2,5,5.0,2,0,7,100,High,20805.96,172.4,32,29,11,0,BNPL (Klarna/Afterpay),Tablet,0.16,88958
CUST-1083,19,Male,81697,Dallas,Basic,2024-02-10,28.6,12359.88,52,237.69,1.82,141,Sports & Outdoors,20,0,45,21,0.42,0.71,5,2,1.7,0,0,8,98,High,21194.31,279.54,13,23,12,0,PayPal,Tablet,0.06,122448
CUST-1084,61,Female,46169,Los Angeles,Platinum,2022-10-02,44.9,39218.85,95,412.83,2.12,17,Electronics,27,282,31,1,0.58,0.54,2,4,3.9,2,0,3,100,Low,77404.82,498.66,19,88,72,0,Credit Card,Tablet,0.17,779977
CUST-1085,35,Female,24000,San Jose,Basic,2022-09-23,45.2,13609.32,127,107.16,2.81,162,Electronics,15,385,26,2,0.32,0.44,18,5,4.9,3,0,4,100,High,27924.76,124.97,12,88,6,0,PayPal,Desktop,0.09,131693
CUST-1086,67,Female,66764,San Jose,Platinum,2024-03-11,27.7,5658.12,36,157.17,1.3,325,Home & Kitchen,52,251,15,11,0.51,0.31,5,4,4.1,0,0,7,100,High,10423.33,178.43,28,24,10,0,Credit Card,Mobile,0.08,111962
CUST-1087,41,Female,88956,Los Angeles,Basic,2025-09-03,9.9,6639.15,15,442.61,1.52,286,Sports & Outdoors,34,13,6,11,0.52,0.47,25,3,2.9,0,0,2,100,High,9508.47,504.55,15,12,2,0,Apple Pay,Mobile,0.04,65791
CUST-1088,28,Male,67828,San Antonio,Basic,2024-09-26,21.1,1944.74,14,138.91,0.66,129,Apparel,48,304,40,6,0.44,0.14,0,5,4.9,1,1,5,100,High,4299.62,142.53,42,10,9,0,Apple Pay,Desktop,0.17,18947
CUST-1089,48,Male,69762,San Antonio,Basic,2024-08-17,22.4,25874.0,50,517.48,2.23,252,Sports & Outdoors,52,192,18,25,0.39,0.13,18,2,2.4,0,1,0,76,High,39088.53,637.12,12,28,25,0,Credit Card,Desktop,0.2,257340
CUST-1090,44,Female,105555,Chicago,Gold,2022-11-12,43.6,4100.81,49,83.69,1.12,79,Books,29,37,29,19,0.46,0.33,16,5,5.0,1,0,11,100,Medium,9325.71,94.62,33,5,0,1,Apple Pay,Mobile,0.15,61262
CUST-1091,54,Non-Binary,69101,Austin,Basic,2022-10-16,44.5,17038.35,105,162.27,2.36,221,Electronics,2,0,15,16,0.66,0.44,22,4,4.0,0,1,4,100,High,34334.32,160.32,8,58,50,0,Debit Card,Mobile,0.02,167483
CUST-1092,64,Female,28279,Philadelphia,Basic,2026-01-15,5.5,2235.87,13,171.99,2.36,30,Electronics,56,55,44,25,0.22,0.74,7,4,4.0,0,0,7,100,Low,3992.06,162.14,12,10,10,0,Credit Card,Desktop,0.22,21858
CUST-1093,46,Female,84046,San Antonio,Silver,2026-05-23,1.3,191.16,1,191.16,0.77,5,Sports & Outdoors,8,274,12,11,0.34,0.37,8,4,4.0,5,0,1,100,Low,1696.34,209.23,40,1,0,2,Apple Pay,Tablet,0.15,2243
CUST-1094,61,Male,58007,Los Angeles,Basic,2025-01-29,17.0,6050.56,16,378.16,0.94,356,Apparel,34,305,9,18,0.39,0.18,20,4,4.3,4,0,5,91,High,9558.47,395.5,27,14,9,0,Apple Pay,Tablet,0.12,59805
CUST-1095,30,Female,73909,Dallas,Silver,2023-08-01,35.0,13082.52,53,246.84,1.51,252,Beauty,47,250,11,2,0.52,0.61,7,3,2.8,1,0,14,100,High,24121.86,265.66,24,32,7,0,Apple Pay,Desktop,0.21,155390
CUST-1096,41,Female,101329,Miami,Silver,2026-03-08,3.8,675.6,6,112.6,1.58,28,Beauty,8,334,16,9,0.76,0.07,8,3,3.3,1,3,6,91,Low,2094.09,132.28,10,5,2,2,BNPL (Klarna/Afterpay),Desktop,0.04,7857
CUST-1097,26,Female,54346,Denver,Gold,2025-04-04,14.9,4452.84,28,159.03,1.88,273,Home & Kitchen,40,165,19,9,0.53,0.72,16,5,5.0,0,2,13,100,High,7335.08,193.62,9,26,7,1,Debit Card,Mobile,0.14,65492
CUST-1098,35,Female,106184,San Antonio,Basic,2023-11-19,31.4,2518.62,78,32.29,2.48,48,Beauty,34,355,24,14,0.81,0.28,0,5,5.0,0,3,11,100,Low,5666.22,38.43,16,54,52,0,Apple Pay,Mobile,0.07,22486
CUST-1099,53,Female,42463,San Jose,Basic,2021-08-21,58.3,4175.94,79,52.86,1.36,350,Electronics,4,0,30,0,0.19,0.65,14,4,4.4,1,3,4,86,High,10537.97,63.58,9,35,5,1,Apple Pay,Mobile,0.17,40009
CUST-1100,59,Male,36395,San Antonio,Basic,2022-11-28,43.1,11657.28,96,121.43,2.23,120,Beauty,43,0,7,0,0.26,0.1,18,3,3.1,0,0,3,98,Medium,23594.55,151.21,13,9,3,0,Credit Card,Mobile,0.09,116122
CUST-1101,37,Male,67876,Miami,Silver,2021-11-09,55.7,9400.1,46,204.35,0.83,347,Apparel,6,4,40,20,0.22,0.3,6,4,3.7,1,0,6,100,High,21808.13,180.78,37,27,10,1,PayPal,Mobile,0.02,111451
CUST-1102,53,Female,116655,Seattle,Silver,2023-01-04,41.9,19980.1,119,167.9,2.84,14,Books,58,265,39,16,0.24,0.32,20,1,1.3,5,0,3,87,Low,38726.06,158.91,12,113,1,5,Apple Pay,Mobile,0.22,234111
CUST-1103,54,Male,75166,Dallas,Basic,2022-08-03,46.9,14910.48,78,191.16,1.66,38,Electronics,39,0,17,6,0.13,0.09,25,3,2.8,2,1,13,100,Low,30979.26,216.15,10,78,19,0,Apple Pay,Mobile,0.23,145204
