TransactionID,CustomerID,TransactionDate,TransactionTime,Age,Gender,Income,Location,AccountAgeDays,Membership,ProductID,Category,Quantity,Price,TotalAmount,PaymentMethod,CardType,TransactionChannel,DeviceType,Browser,IPAddress,PreviousTransactionCount,AverageTransactionAmount,TransactionFrequency,TimeSinceLastTransaction,FailedLoginAttempts,PasswordChangeCount,NewDeviceLogin,IsInternational,DistanceFromHome,CustomerTotalSpend,CustomerAverageSpend,CustomerComplaints,CustomerRating,CustomerHealthScore,RefundCount,ChargebackCount,SuspiciousActivityCount,Fraud
TXN100011,CUST1106,2026-02-04,09:01:00,25,Male,117802.09,"Chicago, IL",1120,Platinum,PROD719,Clothing,3,252.28,756.84,Crypto,None,Mobile App,Tablet,Edge,65.26.47.163,108,418.09,0.76,30.1,0,1,1,0,1.3,45153.72,418.09,1,4.0,100,5,1,0,0
TXN100012,CUST1967,2026-06-26,05:05:00,52,Male,129324.38,"San Jose, CA",2268,Gold,PROD540,Clothing,1,376.83,376.83,Credit Card,Amex,In-Store,None,None,175.127.52.91,143,444.38,6.16,55.9,3,1,0,1,33.0,63546.34,444.38,1,4.9,52,3,0,1,0
TXN100013,CUST1340,2026-04-16,22:51:00,73,Non-Binary,126343.66,"Phoenix, AZ",657,Standard,PROD491,Toys,1,1031.73,1031.73,Debit Card,Mastercard,POS,None,None,90.156.116.58,6,336.82,6.04,25.1,0,0,1,0,23.1,2020.92,336.82,2,3.6,81,5,2,2,1
TXN100014,CUST1961,2026-01-08,03:56:00,74,Female,47320.98,"Phoenix, AZ",161,Standard,PROD710,Beauty,3,876.97,2630.91,PayPal,None,POS,None,None,156.59.197.231,147,111.24,0.76,39.3,0,4,0,0,13.7,16352.28,111.24,2,2.7,72,4,1,0,0
TXN100015,CUST1307,2026-05-10,10:33:00,60,Female,65772.86,"Phoenix, AZ",2275,Gold,PROD296,Beauty,4,816.01,3264.04,Debit Card,None,Mobile App,Mobile,Opera,214.0.155.74,53,226.35,8.74,59.0,0,3,1,0,6.0,11996.55,226.35,3,3.7,95,3,2,1,0
TXN100016,CUST1290,2026-05-12,22:39:00,58,Non-Binary,66898.53,"Houston, TX",2760,Platinum,PROD330,Toys,2,185.35,370.7,Credit Card,Mastercard,POS,None,None,157.37.233.107,147,113.33,10.48,44.5,0,1,0,0,14.7,16659.51,113.33,0,4.6,43,3,0,1,0
TXN100017,CUST1712,2026-05-13,15:51:00,21,Non-Binary,56149.78,"Los Angeles, CA",1874,Gold,PROD920,Beauty,5,1185.59,5927.95,Bank Transfer,None,Mobile App,Mobile,Opera,209.218.228.230,40,376.95,7.17,23.4,0,1,1,0,69.9,15078.0,376.95,4,2.9,60,2,1,0,0
TXN100018,CUST1240,2026-03-11,11:27:00,38,Non-Binary,35072.21,"Chicago, IL",952,VIP,PROD810,Clothing,2,86.43,172.86,Apple Pay,None,Mobile App,Tablet,Edge,107.31.105.214,107,206.95,11.57,85.2,1,0,1,1,45.0,22143.65,206.95,3,1.0,75,2,1,3,1
TXN100019,CUST1551,2026-05-20,20:35:00,75,Male,86028.68,"Phoenix, AZ",1790,VIP,PROD129,Beauty,3,805.96,2417.88,Apple Pay,None,In-Store,None,None,216.239.65.252,136,32.94,5.97,50.8,0,0,0,1,1.9,4479.84,32.94,3,1.5,89,1,0,2,1
TXN100020,CUST1388,2026-03-25,07:13:00,47,Female,67187.57,"San Antonio, TX",1144,VIP,PROD358,Toys,1,569.67,569.67,Crypto,None,Online,Mobile,Safari,167.35.20.194,7,475.81,3.07,1.9,0,1,0,0,7.9,3330.67,475.81,1,2.9,44,4,0,3,0
TXN100021,CUST1785,2026-04-05,05:43:00,56,Non-Binary,145466.84,"Los Angeles, CA",3190,Gold,PROD418,Electronics,5,40.56,202.8,PayPal,None,POS,None,None,102.101.38.152,62,68.91,11.61,76.5,0,4,0,0,35.3,4272.42,68.91,4,4.1,74,4,1,2,0
TXN100022,CUST1663,2026-03-29,00:25:00,72,Female,127791.36,"Los Angeles, CA",1780,Platinum,PROD750,Toys,4,851.7,3406.8,Apple Pay,None,In-Store,None,None,188.138.247.120,111,416.35,8.93,29.1,0,1,0,0,15.6,46214.85,416.35,2,4.5,61,3,2,3,0
TXN100023,CUST1506,2026-03-25,06:12:00,49,Male,69353.12,"Phoenix, AZ",1399,Platinum,PROD710,Sports,3,671.39,2014.17,Bank Transfer,None,In-Store,None,None,22.123.208.126,142,383.92,10.39,58.2,0,3,1,0,1.5,54516.64,383.92,0,1.4,58,3,2,1,0
TXN100024,CUST1595,2026-04-05,16:09:00,53,Non-Binary,67969.67,"Dallas, TX",1359,Platinum,PROD819,Beauty,3,374.88,1124.64,Debit Card,Visa,In-Store,None,None,81.61.94.50,55,374.53,4.22,53.1,5,4,1,0,4.4,20599.15,374.53,0,4.3,67,1,1,1,1
TXN100025,CUST1309,2026-01-04,18:13:00,26,Female,30689.46,"New York, NY",2271,Platinum,PROD814,Clothing,4,132.08,528.32,Credit Card,None,Mobile App,Mobile,Edge,113.174.94.248,13,141.19,12.94,10.4,0,0,1,0,24.5,1835.47,141.19,3,1.3,36,1,0,2,0
TXN100026,CUST1254,2026-01-31,19:02:00,66,Female,100789.71,"San Jose, CA",929,None,PROD489,Beauty,4,363.85,1455.4,Bank Transfer,None,POS,None,None,79.30.50.243,53,320.25,4.04,7.4,1,1,0,0,1.5,16973.25,320.25,4,1.3,30,3,1,3,0
TXN100027,CUST1237,2026-03-15,09:39:00,62,Female,33897.47,"Houston, TX",1088,None,PROD777,Toys,2,515.92,1031.84,Bank Transfer,None,In-Store,None,None,166.76.136.212,36,54.28,2.57,27.8,0,5,1,0,39.8,1954.08,54.28,3,1.5,68,5,1,2,1
TXN100028,CUST1512,2026-05-19,16:51:00,46,Male,99754.58,"San Antonio, TX",3013,Platinum,PROD718,Home & Kitchen,1,118.68,118.68,Crypto,None,Online,Tablet,Firefox,148.20.89.121,132,332.72,13.75,16.4,0,4,1,0,1.3,43919.04,332.72,3,4.9,90,2,1,2,0
TXN100029,CUST1107,2026-02-11,11:15:00,44,Non-Binary,86933.63,"San Antonio, TX",3337,None,PROD137,Beauty,1,384.28,384.28,PayPal,None,Online,Mobile,Opera,212.0.236.106,13,110.04,5.49,68.1,0,5,1,0,26.2,1430.52,110.04,0,1.8,100,1,1,3,0
TXN100030,CUST1496,2026-02-01,00:59:00,58,Non-Binary,124914.22,"Chicago, IL",1277,None,PROD114,Books,4,120.92,483.68,Credit Card,Discover,Online,Tablet,Safari,128.149.139.107,123,490.52,3.73,49.7,0,3,0,0,12.8,60333.96,490.52,4,3.0,47,0,1,3,0
TXN100031,CUST1806,2026-05-10,09:07:00,70,Male,60354.87,"Phoenix, AZ",3435,None,PROD693,Sports,4,1039.66,4158.64,Apple Pay,None,POS,None,None,89.170.193.117,82,437.41,14.71,21.6,0,3,0,0,28.6,35867.62,437.41,3,1.2,90,5,1,3,0
TXN100032,CUST1811,2026-06-16,05:11:00,49,Male,40780.78,"San Jose, CA",1364,Standard,PROD995,Toys,4,128.66,514.64,Apple Pay,None,Online,Tablet,Safari,105.79.38.121,67,182.51,10.42,58.5,0,2,1,0,13.6,12228.17,182.51,2,3.5,92,4,0,0,0
TXN100033,CUST1700,2026-03-15,07:45:00,65,Male,79246.43,"Los Angeles, CA",3119,Standard,PROD554,Clothing,3,1085.07,3255.21,Credit Card,Amex,Online,Mobile,Firefox,96.220.74.63,135,217.78,10.26,16.3,0,1,0,0,0.5,29400.3,217.78,4,4.5,60,3,2,1,0
TXN100034,CUST1653,2026-03-07,15:41:00,34,Non-Binary,26174.68,"San Diego, CA",1183,None,PROD261,Electronics,4,1134.83,4539.32,Bank Transfer,None,Mobile App,Tablet,Edge,177.128.233.217,77,115.62,5.83,43.5,0,1,1,0,20.2,8902.74,115.62,4,2.4,67,5,1,0,0
TXN100035,CUST1674,2026-04-12,09:22:00,18,Non-Binary,133133.42,"New York, NY",2488,VIP,PROD952,Home & Kitchen,2,732.41,1464.82,PayPal,None,In-Store,None,None,163.97.128.174,35,321.56,13.56,58.2,0,2,1,0,47.6,11254.6,321.56,0,3.3,46,0,1,2,1
TXN100036,CUST1765,2026-04-17,05:59:00,30,Male,123314.1,"Philadelphia, PA",2179,None,PROD379,Toys,2,315.79,631.58,Apple Pay,None,Mobile App,Tablet,Firefox,206.58.239.247,19,87.56,14.5,77.4,0,5,1,0,28.2,1663.64,87.56,4,2.5,80,0,1,0,0
TXN100037,CUST1688,2026-06-22,08:56:00,55,Female,127802.16,"Philadelphia, PA",448,Gold,PROD582,Electronics,5,1062.24,5311.2,Bank Transfer,None,Mobile App,Tablet,Safari,166.32.237.233,77,331.63,1.84,4.2,0,0,1,0,6.8,25535.51,331.63,3,1.5,60,4,0,3,1
TXN100038,CUST1464,2026-04-05,22:53:00,65,Non-Binary,143246.76,"San Antonio, TX",2410,Gold,PROD524,Sports,1,1002.09,1002.09,Bank Transfer,None,POS,None,None,241.143.16.177,94,124.29,6.73,21.3,0,2,0,1,33.0,11683.26,124.29,2,3.2,75,0,1,2,1
TXN100039,CUST1194,2026-02-01,15:31:00,23,Non-Binary,51513.23,"San Jose, CA",92,Standard,PROD905,Home & Kitchen,2,1186.7,2373.4,Bank Transfer,None,In-Store,None,None,18.106.110.209,59,177.71,2.3,81.1,0,0,1,0,32.6,10484.89,177.71,1,5.0,99,2,0,0,0
TXN100040,CUST1026,2026-02-03,00:30:00,40,Male,98606.62,"New York, NY",718,Platinum,PROD153,Clothing,4,636.04,2544.16,Crypto,None,Online,Mobile,Edge,200.185.55.116,128,126.34,9.27,65.5,0,5,1,0,15.5,16171.52,126.34,3,3.6,33,0,1,3,1
TXN100041,CUST1436,2026-06-25,03:41:00,49,Non-Binary,138712.6,"Los Angeles, CA",335,Platinum,PROD722,Clothing,1,160.17,160.17,Bank Transfer,None,Mobile App,Mobile,Opera,136.150.232.130,110,67.61,10.56,76.8,1,5,0,0,7.7,7437.1,67.61,3,2.8,59,3,1,3,0
TXN100042,CUST1747,2026-01-25,10:40:00,45,Female,108138.48,"Philadelphia, PA",630,VIP,PROD168,Electronics,1,120.94,120.94,Credit Card,Amex,In-Store,None,None,143.30.168.172,31,217.19,13.12,84.7,0,3,0,0,11.1,6732.89,217.19,2,3.4,75,0,2,1,0
TXN100043,CUST1493,2026-02-27,03:41:00,40,Non-Binary,70945.13,"Phoenix, AZ",2356,Gold,PROD926,Beauty,5,1169.71,5848.55,Bank Transfer,None,Online,Tablet,Firefox,8.92.139.180,79,462.34,5.33,16.4,1,1,1,0,0.1,36524.86,462.34,0,1.6,33,0,2,1,0
TXN100044,CUST1464,2026-03-29,05:22:00,41,Female,115199.5,"San Jose, CA",2447,Standard,PROD153,Clothing,2,907.78,1815.56,Credit Card,Visa,Mobile App,Mobile,Edge,125.226.212.70,55,382.37,1.8,38.7,0,2,1,0,5.0,21030.35,382.37,4,3.7,35,1,1,0,1
TXN100045,CUST1308,2026-02-24,04:41:00,66,Female,61180.89,"Los Angeles, CA",36,VIP,PROD864,Beauty,2,163.73,327.46,Bank Transfer,None,In-Store,None,None,129.181.36.102,10,229.39,6.95,7.1,0,2,1,0,57.3,2293.9,229.39,4,2.6,83,2,0,3,1
TXN100046,CUST1332,2026-02-13,21:05:00,47,Non-Binary,139971.22,"Los Angeles, CA",1793,Standard,PROD349,Beauty,5,486.54,2432.7,Credit Card,Discover,Mobile App,Tablet,Firefox,57.170.86.20,130,323.95,8.01,17.5,0,2,1,0,24.3,42113.5,323.95,1,1.9,48,2,0,1,0
TXN100047,CUST1778,2026-06-17,02:34:00,29,Non-Binary,86764.63,"San Jose, CA",3117,None,PROD559,Sports,5,775.16,3875.8,Bank Transfer,None,Mobile App,Tablet,Firefox,39.225.34.121,113,323.06,11.97,53.3,0,2,0,1,65.6,36505.78,323.06,2,2.8,34,0,1,2,1
TXN100048,CUST1078,2026-06-15,03:04:00,57,Non-Binary,88383.48,"San Diego, CA",2382,None,PROD910,Sports,1,545.18,545.18,Bank Transfer,None,In-Store,None,None,83.243.77.246,15,236.25,12.18,75.4,0,5,0,0,7.2,3543.75,236.25,4,3.6,35,1,2,3,0
TXN100049,CUST1536,2026-05-14,20:48:00,28,Female,71606.5,"Phoenix, AZ",1591,VIP,PROD893,Home & Kitchen,5,72.31,361.55,Crypto,None,Mobile App,Desktop,Firefox,25.197.145.65,38,180.01,8.78,12.8,0,2,1,0,18.8,6840.38,180.01,3,1.5,40,2,2,3,0
TXN100050,CUST1336,2026-02-02,22:52:00,62,Non-Binary,149645.51,"Dallas, TX",387,VIP,PROD620,Home & Kitchen,1,441.49,441.49,Debit Card,Mastercard,Mobile App,Mobile,Safari,58.70.79.20,75,425.33,1.61,69.4,0,5,0,0,6.5,31899.75,425.33,2,4.5,46,4,1,1,0
TXN100051,CUST1851,2026-06-27,21:19:00,69,Male,115147.87,"New York, NY",1687,Platinum,PROD792,Sports,2,1163.81,2327.62,Bank Transfer,None,Mobile App,Tablet,Edge,60.122.158.248,120,453.91,2.99,61.1,2,4,1,0,3.1,54469.2,453.91,3,4.1,78,4,2,3,1
TXN100052,CUST1989,2026-02-11,06:48:00,69,Non-Binary,42299.82,"Phoenix, AZ",218,VIP,PROD995,Home & Kitchen,5,1121.81,5609.05,Crypto,None,Online,Mobile,Chrome,196.82.139.116,131,90.73,6.62,85.2,0,1,1,1,5.5,11885.63,90.73,2,4.7,83,0,1,2,1
TXN100053,CUST1241,2026-04-09,02:47:00,41,Male,28523.44,"Los Angeles, CA",3442,Platinum,PROD910,Clothing,2,55.58,111.16,Apple Pay,None,In-Store,None,None,195.240.229.158,1,454.81,0.38,19.5,0,1,1,0,5.4,454.81,454.81,0,4.1,60,2,0,0,0
TXN100054,CUST1654,2026-06-09,15:36:00,22,Male,129585.97,"San Diego, CA",2449,None,PROD116,Sports,5,694.31,3471.55,Crypto,None,In-Store,None,None,75.219.0.158,90,135.47,6.31,59.8,1,0,1,0,20.0,12192.3,135.47,0,4.8,99,4,2,0,0
TXN100055,CUST1481,2026-01-12,21:41:00,42,Female,56706.28,"New York, NY",1467,Standard,PROD453,Clothing,1,928.09,928.09,Crypto,None,Mobile App,Desktop,Chrome,91.173.89.213,118,490.79,7.23,16.5,0,1,0,0,1.9,57913.22,490.79,3,1.1,55,0,0,0,0
TXN100056,CUST1317,2026-05-12,13:35:00,70,Non-Binary,84174.97,"New York, NY",3090,Gold,PROD392,Home & Kitchen,1,1040.3,1040.3,PayPal,None,Mobile App,Desktop,Firefox,112.204.225.230,98,182.74,2.88,62.3,1,2,1,0,4.1,17908.52,182.74,0,3.9,40,3,2,1,0
TXN100057,CUST1328,2026-01-27,02:43:00,38,Non-Binary,61954.99,"San Diego, CA",2473,VIP,PROD270,Sports,4,428.34,1713.36,Credit Card,Amex,POS,None,None,71.29.38.172,103,194.39,12.04,61.2,0,0,0,0,22.6,20022.17,194.39,4,3.7,86,0,0,0,0
TXN100058,CUST1660,2026-04-04,12:21:00,42,Non-Binary,29048.17,"Chicago, IL",2786,VIP,PROD479,Home & Kitchen,4,918.07,3672.28,Bank Transfer,None,In-Store,None,None,136.187.203.81,71,139.81,1.79,66.2,0,3,1,0,5.1,9926.51,139.81,4,1.5,63,5,1,1,0
TXN100059,CUST1292,2026-06-27,16:45:00,30,Male,41966.05,"Los Angeles, CA",1856,Gold,PROD830,Beauty,1,974.51,974.51,PayPal,None,Mobile App,Tablet,Chrome,141.148.153.218,40,361.67,13.92,57.4,0,2,0,0,23.5,14466.8,361.67,0,4.9,47,1,1,0,0
TXN100060,CUST1586,2026-04-05,15:57:00,69,Non-Binary,41221.4,"Los Angeles, CA",274,Platinum,PROD507,Sports,4,635.58,2542.32,Apple Pay,None,Online,Desktop,Firefox,165.37.230.120,132,185.37,13.18,70.2,0,5,0,1,3.0,24468.84,185.37,1,2.7,37,0,2,1,0
TXN100061,CUST1165,2026-03-24,07:41:00,40,Non-Binary,136865.74,"Los Angeles, CA",1031,Gold,PROD750,Books,3,158.95,476.85,PayPal,None,Online,Tablet,Safari,152.78.87.169,86,424.41,8.5,74.3,0,0,0,0,51.7,36499.26,424.41,0,4.8,63,5,0,3,0
TXN100062,CUST1031,2026-05-08,21:24:00,52,Female,105238.41,"Phoenix, AZ",1983,Gold,PROD924,Toys,4,363.95,1455.8,Credit Card,Visa,In-Store,None,None,113.212.247.119,52,183.29,2.24,77.5,2,2,1,0,21.6,9531.08,183.29,3,1.5,77,4,2,0,0
TXN100063,CUST1477,2026-02-01,09:07:00,46,Male,42609.7,"New York, NY",1193,VIP,PROD984,Books,4,305.44,1221.76,Debit Card,Amex,Mobile App,Desktop,Safari,128.239.255.226,78,258.74,1.44,35.5,1,3,0,0,15.1,20181.72,258.74,1,3.3,36,0,1,3,0
TXN100064,CUST1863,2026-06-17,22:57:00,48,Female,92086.34,"Los Angeles, CA",1770,Gold,PROD370,Sports,3,918.99,2756.97,PayPal,None,Online,Mobile,Chrome,146.99.185.142,73,55.3,7.61,68.8,0,2,0,0,45.5,4036.9,55.3,1,4.9,80,2,1,2,0
TXN100065,CUST1203,2026-06-04,17:22:00,43,Non-Binary,30031.86,"New York, NY",566,Platinum,PROD923,Beauty,5,553.82,2769.1,Bank Transfer,None,In-Store,None,None,84.163.83.101,76,304.99,7.66,45.9,2,3,1,0,8.3,23179.24,304.99,3,4.3,77,2,2,0,0
TXN100066,CUST1597,2026-03-20,23:29:00,58,Male,99613.7,"Phoenix, AZ",2690,None,PROD691,Clothing,1,704.39,704.39,Debit Card,None,POS,None,None,38.124.16.147,28,111.58,6.67,37.7,0,3,0,0,45.5,3124.24,111.58,3,3.0,90,5,2,0,0
TXN100067,CUST1531,2026-02-23,19:08:00,38,Non-Binary,84796.37,"San Antonio, TX",1290,Gold,PROD570,Books,3,660.07,1980.21,Crypto,None,Mobile App,Tablet,Edge,50.126.142.143,76,127.94,14.6,26.9,2,2,0,0,20.5,9723.44,127.94,3,2.3,74,4,2,2,0
TXN100068,CUST1587,2026-06-23,18:32:00,42,Female,127297.18,"Chicago, IL",1194,Standard,PROD394,Sports,1,422.17,422.17,Apple Pay,None,Mobile App,Tablet,Edge,55.103.138.239,143,354.16,2.15,55.4,0,4,0,0,45.8,50644.88,354.16,1,1.2,97,1,2,1,0
TXN100069,CUST1423,2026-03-26,16:07:00,24,Non-Binary,121345.76,"New York, NY",2259,Gold,PROD516,Sports,4,578.16,2312.64,Debit Card,Amex,Mobile App,Mobile,Chrome,233.45.118.137,9,458.35,2.71,79.4,0,1,0,0,2.1,4125.15,458.35,3,4.2,53,5,1,0,1
TXN100070,CUST1581,2026-06-04,03:39:00,39,Female,81793.63,"Dallas, TX",2152,VIP,PROD237,Toys,5,566.94,2834.7,Debit Card,Visa,Mobile App,Desktop,Edge,166.131.95.4,86,399.57,8.56,68.2,0,1,1,0,3.5,34363.02,399.57,3,3.1,41,3,2,0,0
TXN100071,CUST1143,2026-05-03,11:02:00,33,Male,57598.16,"Houston, TX",1834,Platinum,PROD437,Home & Kitchen,5,870.23,4351.15,Credit Card,Amex,Mobile App,Tablet,Safari,16.60.238.79,40,214.6,7.59,80.6,0,5,1,0,21.1,8584.0,214.6,0,3.6,67,2,2,1,0
TXN100072,CUST1136,2026-05-03,05:13:00,47,Non-Binary,148604.75,"Philadelphia, PA",1708,None,PROD582,Toys,5,964.37,4821.85,Debit Card,Mastercard,Online,Tablet,Edge,136.185.39.235,144,73.86,12.45,81.3,0,1,0,0,5.4,10635.84,73.86,1,2.3,96,3,0,1,0
TXN100073,CUST1500,2026-01-24,17:25:00,46,Male,81679.04,"Dallas, TX",1706,VIP,PROD677,Electronics,5,560.23,2801.15,PayPal,None,Online,Mobile,Firefox,210.1.111.149,18,41.74,5.23,5.8,0,0,0,0,21.0,751.32,41.74,3,1.1,82,1,0,3,0
TXN100074,CUST1912,2026-04-08,15:18:00,73,Female,71955.69,"Dallas, TX",549,Platinum,PROD221,Clothing,5,477.74,2388.7,Debit Card,Mastercard,Online,Desktop,Firefox,119.217.194.211,58,138.81,5.26,24.9,1,5,0,0,16.8,8050.98,138.81,0,4.2,83,4,0,1,0
TXN100075,CUST1103,2026-06-02,01:08:00,46,Non-Binary,109002.95,"New York, NY",1007,Standard,PROD511,Beauty,2,652.31,1304.62,Credit Card,Mastercard,Mobile App,Desktop,Opera,82.164.121.78,36,493.13,7.87,37.3,0,2,0,0,6.2,17752.68,493.13,4,4.8,52,5,2,3,0
TXN100076,CUST1048,2026-03-30,21:57:00,60,Female,123225.57,"Philadelphia, PA",2857,VIP,PROD518,Clothing,3,457.99,1373.97,Bank Transfer,None,POS,None,None,62.115.153.220,36,406.77,13.73,50.7,0,3,0,1,10.0,14643.72,406.77,3,2.0,56,2,2,0,0
TXN100077,CUST1867,2026-04-05,03:09:00,52,Non-Binary,128675.79,"New York, NY",1104,VIP,PROD789,Books,5,57.06,285.3,Credit Card,Mastercard,In-Store,None,None,123.106.170.78,3,121.67,2.93,66.8,2,5,1,0,31.7,365.01,121.67,1,3.8,56,3,0,2,0
TXN100078,CUST1389,2026-04-30,18:12:00,59,Female,63552.79,"Philadelphia, PA",2105,VIP,PROD577,Electronics,4,916.34,3665.36,PayPal,None,In-Store,None,None,95.160.211.12,144,434.76,11.14,1.6,0,4,1,0,13.6,62605.44,434.76,2,1.6,72,1,1,1,0
TXN100079,CUST1670,2026-06-25,11:31:00,34,Female,145813.53,"San Diego, CA",1892,Gold,PROD850,Toys,3,211.43,634.29,Crypto,None,POS,None,None,48.30.17.215,19,473.69,10.06,68.8,0,3,0,0,6.6,9000.11,473.69,1,1.3,49,0,0,3,0
TXN100080,CUST1632,2026-06-13,22:45:00,57,Female,107410.54,"New York, NY",32,None,PROD664,Beauty,1,29.9,29.9,Crypto,None,Mobile App,Tablet,Firefox,5.220.91.28,24,271.7,3.69,55.8,0,2,1,0,3.9,6520.8,271.7,2,4.2,40,2,1,3,0
TXN100081,CUST1713,2026-02-27,10:14:00,61,Male,106716.96,"New York, NY",387,VIP,PROD488,Beauty,5,576.45,2882.25,Crypto,None,Online,Tablet,Safari,22.255.222.166,84,291.61,12.88,8.7,3,4,0,1,49.3,24495.24,291.61,1,1.8,90,2,0,0,0
TXN100082,CUST1287,2026-05-20,19:14:00,60,Male,47419.31,"Philadelphia, PA",69,Gold,PROD701,Clothing,4,1115.36,4461.44,PayPal,None,In-Store,None,None,145.123.199.174,138,179.23,11.36,12.7,0,5,0,0,52.7,24733.74,179.23,4,4.0,74,0,0,3,0
TXN100083,CUST1077,2026-03-29,20:39:00,67,Non-Binary,144357.3,"San Antonio, TX",3173,Platinum,PROD130,Sports,3,942.42,2827.26,Apple Pay,None,POS,None,None,59.182.192.111,47,346.25,9.94,7.8,0,4,1,1,66.3,16273.75,346.25,1,3.9,40,2,0,3,1
TXN100084,CUST1728,2026-06-12,05:15:00,65,Female,64584.78,"Los Angeles, CA",379,Standard,PROD415,Beauty,3,916.0,2748.0,Credit Card,Mastercard,Online,Desktop,Edge,115.208.52.7,22,189.88,1.49,53.9,2,2,1,0,9.7,4177.36,189.88,0,2.2,79,0,2,1,0
TXN100085,CUST1173,2026-06-25,12:59:00,28,Male,58614.87,"Phoenix, AZ",2024,Gold,PROD164,Clothing,4,338.39,1353.56,PayPal,None,POS,None,None,201.39.184.65,63,366.03,7.49,55.5,2,3,0,0,3.7,23059.89,366.03,1,2.2,80,2,2,3,0
TXN100086,CUST1337,2026-04-23,11:25:00,45,Non-Binary,146778.17,"Chicago, IL",1235,Platinum,PROD717,Sports,2,580.02,1160.04,Debit Card,Discover,Mobile App,Mobile,Edge,248.124.166.97,71,411.92,5.95,10.3,0,4,0,1,23.8,29246.32,411.92,4,5.0,53,5,2,0,0
TXN100087,CUST1472,2026-02-23,14:57:00,69,Female,128910.23,"Los Angeles, CA",3359,VIP,PROD789,Beauty,2,763.67,1527.34,Debit Card,Amex,In-Store,None,None,184.216.193.19,114,495.54,7.24,36.1,0,4,1,0,19.1,56491.56,495.54,4,1.1,76,5,2,0,0
