TransactionID,CustomerID,ProductID,ProductName,Category,Brand,PurchaseDate,Quantity,Price,TotalAmount,Rating,DiscountUsed
TXN-1038,CUST-104,PRD-0002,Mechanical Keyboard,Electronics,Logitech,2026-01-12,1,486.93,486.93,4.3,0%
TXN-1039,CUST-117,PRD-0008,2-Slice Toaster,Home & Kitchen,KitchenAid,2026-05-24,1,100.33,80.26,4.8,20%
TXN-1040,CUST-135,PRD-3237,Galaxy Watch 6,Electronics,Samsung,2026-05-22,2,604.33,1208.66,3.6,0%
TXN-1041,CUST-103,PRD-4064,Ultraboost Running Shoes,Fashion & Apparel,Adidas,2026-06-20,1,83.05,70.59,4.8,15%
TXN-1042,CUST-127,PRD-1712,Duo 7-in-1 Pressure Cooker,Home & Kitchen,Instant Pot,2026-02-15,4,61.14,195.65,4.8,20%
TXN-1043,CUST-127,PRD-2579,V15 Cordless Vacuum,Home & Kitchen,Dyson,2026-06-29,1,222.13,222.13,4.7,0%
TXN-1044,CUST-115,PRD-0008,2-Slice Toaster,Home & Kitchen,KitchenAid,2026-03-20,2,150.31,240.5,3.4,20%
TXN-1045,CUST-122,PRD-4794,Dri-FIT Running Shorts,Fashion & Apparel,Nike,2026-03-31,4,131.92,448.53,3.7,15%
TXN-1046,CUST-102,PRD-1230,Galaxy S24,Electronics,Samsung,2026-05-29,3,126.66,322.98,3.9,15%
TXN-1047,CUST-147,PRD-1140,Better Sweater Fleece,Fashion & Apparel,Patagonia,2026-04-09,2,68.2,109.12,3.9,20%
TXN-1048,CUST-134,PRD-1479,Pure Cool Air Purifier,Home & Kitchen,Dyson,2026-01-18,3,330.41,792.98,4.7,20%
TXN-1049,CUST-147,PRD-8129,Denim Jacket,Fashion & Apparel,Levi's,2026-03-25,4,134.58,457.57,3.3,15%
TXN-1050,CUST-127,PRD-5632,Forerunner 265 GPS Watch,Fitness & Outdoors,Garmin,2026-06-07,3,156.97,470.91,3.6,0%
TXN-1051,CUST-114,PRD-8561,Edge Bike Computer,Fitness & Outdoors,Garmin,2026-04-30,4,168.7,674.8,4.0,0%
TXN-1052,CUST-148,PRD-6509,Milk Frother,Home & Kitchen,Nespresso,2026-05-12,3,92.01,276.03,4.3,0%
TXN-1053,CUST-115,PRD-1712,Duo 7-in-1 Pressure Cooker,Home & Kitchen,Instant Pot,2026-01-12,2,492.76,837.69,4.7,15%
TXN-1054,CUST-105,PRD-7622,Rambler 30 oz Tumbler,Fitness & Outdoors,Yeti,2026-06-28,4,185.67,742.68,3.3,0%
TXN-1055,CUST-145,PRD-5915,iPad Air,Electronics,Apple,2026-02-26,2,1061.0,1697.6,4.0,20%
TXN-1056,CUST-104,PRD-6509,Milk Frother,Home & Kitchen,Nespresso,2026-02-04,4,350.4,1191.36,4.2,15%
TXN-1057,CUST-149,PRD-8561,Edge Bike Computer,Fitness & Outdoors,Garmin,2026-05-21,4,316.59,1013.09,4.7,20%
TXN-1058,CUST-129,PRD-4843,Classic Track Jacket,Fashion & Apparel,Adidas,2026-05-14,4,124.01,471.24,3.9,5%
TXN-1059,CUST-146,PRD-4843,Classic Track Jacket,Fashion & Apparel,Adidas,2026-03-27,3,163.95,491.85,3.3,0%
TXN-1060,CUST-115,PRD-5632,Forerunner 265 GPS Watch,Fitness & Outdoors,Garmin,2026-06-30,2,45.87,82.57,3.7,10%
