CustomerID,Age,Income,TotalSpend,TotalTransactions,PurchaseFrequency,AverageOrderValue,Tenure,MonthlySpend,LastPurchaseDays,SatisfactionScore
CUST_00038,28,155114.81,45923.08,196,4.4,232.37,4.1,933.4,2,8.9
CUST_00039,34,20000.0,185.44,5,0.4,34.92,1.0,15.45,51,6.8
CUST_00040,18,72682.37,25010.13,264,5.1,95.55,4.5,463.15,39,5.2
CUST_00041,25,161119.36,145689.6,736,9.9,197.6,5.5,2207.42,9,9.3
CUST_00042,39,100979.11,17385.61,186,2.6,98.11,5.8,,18,6.3
CUST_00043,25,137879.51,309179.92,878,8.2,361.97,8.5,3031.18,5,8.3
CUST_00044,55,105554.64,5172.78,16,0.5,319.81,2.6,165.79,182,3.1
CUST_00045,50,75160.03,11751.41,99,2.1,117.02,3.9,251.1,50,6.3
CUST_00046,44,34266.35,548.58,15,1.3,34.56,0.9,50.79,83,5.4
CUST_00047,37,79403.4,3919.97,53,1.2,76.36,4.0,81.67,48,7.1
CUST_00048,31,51621.39,2470.24,23,1.2,106.96,1.6,128.66,26,6.1
CUST_00049,37,77459.56,22563.95,158,1.7,144.78,7.3,257.58,49,6.3
CUST_00050,47,128559.17,239279.27,750,10.5,316.34,5.9,3379.65,2,8.7
CUST_00051,61,95266.69,2727.31,18,0.3,153.99,5.2,43.71,196,5.8
CUST_00052,26,29556.03,438.35,8,0.6,57.8,1.1,33.21,47,5.0
CUST_00053,34,111460.27,2191.07,13,0.2,165.36,5.9,30.95,228,3.2
CUST_00054,31,35845.23,780.0,24,0.5,,3.7,,60,3.6
CUST_00055,27,87700.12,18428.15,201,4.1,92.33,4.9,313.4,28,5.2
CUST_00056,58,129126.35,23389.49,101,1.0,231.11,8.4,232.04,230,3.0
CUST_00057,27,161518.12,63704.36,189,7.8,337.32,1.9,2794.05,11,8.2
CUST_00058,45,138815.73,35006.51,156,5.6,246.35,2.3,1268.35,8,7.8
CUST_00059,36,112508.82,109924.65,386,6.3,299.07,5.3,1728.38,17,9.3
CUST_00060,46,265741.53,13162.84,91,3.5,145.86,2.0,548.45,26,9.5
CUST_00061,31,72486.11,5493.04,89,3.4,57.73,2.3,199.02,26,6.0
CUST_00062,39,86916.71,10653.8,64,1.0,171.26,4.7,188.9,39,6.3
CUST_00063,31,36409.52,425.12,14,1.0,30.71,1.2,29.52,54,
CUST_00064,20,74187.55,28006.37,200,3.7,134.6,4.6,507.36,39,6.6
CUST_00065,48,51637.24,7706.65,53,2.2,142.4,1.9,,49,7.7
CUST_00066,50,58810.76,20432.42,149,3.1,135.41,4.1,415.29,33,6.8
CUST_00067,50,161904.23,81696.44,376,7.4,216.49,4.2,1620.96,31,6.6
CUST_00068,18,43327.31,420.68,12,0.9,37.18,1.1,31.87,70,3.0
CUST_00069,41,168120.93,152010.31,476,5.5,335.24,8.0,1583.44,4,9.1
CUST_00070,38,107254.66,98.48,1,0.0,98.48,4.9,1.67,170,2.5
CUST_00071,24,40566.91,938.11,28,0.8,33.91,3.4,22.99,77,4.0
CUST_00072,47,153797.15,72355.27,298,3.6,234.32,6.9,873.86,9,9.0
CUST_00073,41,108157.06,118023.4,470,6.5,250.87,6.2,1586.34,1,9.8
CUST_00074,32,45141.21,215.8,10,0.4,22.0,2.3,7.82,26,6.7
CUST_00075,41,,1754.38,57,1.4,31.04,3.0,48.73,36,6.9
CUST_00076,34,35859.55,1668.37,30,1.0,53.41,2.5,55.61,97,
CUST_00077,38,39112.5,405.68,19,1.2,21.27,1.4,24.15,91,4.2
CUST_00078,47,118871.15,111484.55,593,7.4,184.31,6.6,1407.63,29,8.4
CUST_00079,33,72058.21,23621.57,184,2.0,130.27,6.4,307.57,42,6.2
CUST_00080,59,153482.01,52308.33,189,3.8,293.75,4.5,968.67,4,8.8
CUST_00081,20,24179.93,36.13,1,1.1,35.43,0.1,30.11,74,6.7
CUST_00082,41,81866.45,10875.78,76,2.0,141.73,3.4,266.56,26,6.2
CUST_00083,35,58307.84,14625.63,118,3.5,120.45,2.7,451.41,21,6.7
CUST_00084,55,152410.0,381697.24,1092,9.9,348.66,9.7,3279.19,11,9.7
CUST_00085,36,90265.47,31946.22,204,4.3,146.0,4.0,665.55,18,8.1
CUST_00086,35,74072.86,22393.86,148,3.3,155.71,3.7,504.37,14,5.3
CUST_00087,18,43553.15,531.38,15,1.0,36.62,1.1,40.26,42,6.9
CUST_00088,36,68433.97,13006.02,161,3.9,81.23,3.9,277.91,48,8.8
CUST_00089,18,37226.39,603.02,26,1.2,23.4,1.6,31.41,105,
CUST_00090,35,78514.44,6495.28,56,2.4,116.67,2.3,235.34,36,7.2
CUST_00091,53,130138.18,111442.14,488,6.5,229.04,6.1,1522.43,1,9.5
CUST_00092,24,29005.14,474.18,8,0.4,59.85,1.7,23.24,50,6.9
CUST_00093,32,27123.73,984.35,28,1.2,35.74,2.0,41.01,94,7.1
CUST_00094,49,65105.15,5622.29,50,2.6,115.89,1.6,292.83,43,4.8
CUST_00095,29,,1313.35,30,1.4,43.06,1.7,64.38,97,5.5
CUST_00096,49,96526.0,16331.81,154,2.1,102.39,5.9,230.68,29,7.7
CUST_00097,46,59416.61,8588.84,51,1.2,153.26,3.6,198.82,27,7.3
CUST_00098,34,89190.41,864.1,8,3.2,106.83,0.2,360.04,28,9.1
CUST_00099,36,159294.9,181110.75,730,10.0,239.97,6.2,2434.28,11,8.1
CUST_00100,41,170018.97,133436.24,543,6.7,244.15,6.7,1659.65,8,10.0
CUST_00101,50,109491.98,19812.58,59,3.0,328.84,1.5,1100.7,19,8.9
CUST_00102,58,66139.02,24766.45,236,5.8,105.17,3.1,665.76,14,7.5
CUST_00103,35,77506.44,29139.89,232,5.4,126.7,3.3,735.86,18,7.3
CUST_00104,28,68284.29,9837.4,111,5.3,89.26,1.9,431.46,45,6.8
CUST_00105,35,109348.28,5707.25,60,0.7,90.0,6.9,68.93,104,4.3
CUST_00106,26,75044.16,8428.42,58,3.9,137.94,1.2,585.31,45,8.3
CUST_00107,56,54388.89,16554.64,118,4.1,143.91,2.1,656.93,24,6.4
CUST_00108,23,22159.24,104.96,3,0.4,34.47,0.5,17.49,71,6.4
CUST_00109,31,64740.19,9913.62,72,1.7,138.78,3.7,223.28,54,
CUST_00110,41,171082.81,155024.38,536,8.7,274.46,5.3,2437.49,27,10.0
CUST_00111,30,80887.95,15723.25,145,3.6,112.44,4.2,311.97,34,9.8
CUST_00112,56,,207819.24,646,9.5,311.08,5.7,3038.29,1,7.0
CUST_00113,71,87622.55,10876.98,35,0.5,309.84,6.0,151.07,156,5.1
CUST_00114,34,27304.92,542.78,23,0.9,24.99,2.2,20.56,73,5.8
CUST_00115,44,74900.29,10039.31,104,4.0,91.27,2.3,363.74,5,7.3
CUST_00116,24,38057.04,3449.1,101,1.7,36.02,4.4,65.32,44,6.6
CUST_00117,26,38134.21,301.35,11,1.0,28.26,1.2,20.93,94,5.0
CUST_00118,51,108380.82,122111.56,429,5.6,295.67,7.1,1433.23,1,9.7
CUST_00119,18,32977.89,2181.9,55,1.2,38.18,3.2,56.82,40,6.6
CUST_00120,38,37195.27,29109.86,203,3.2,146.07,4.9,495.07,18,4.0
CUST_00121,32,37332.51,71.06,1,0.5,71.06,0.1,59.22,57,6.8
CUST_00122,23,20000.0,574.78,17,0.8,33.2,1.8,26.61,62,6.1
CUST_00123,36,53039.91,3047.02,65,1.3,48.49,4.4,57.71,46,7.8
CUST_00124,44,105113.79,57728.56,309,7.0,184.25,4.1,1173.34,17,9.4
CUST_00125,26,71145.89,13161.87,90,2.5,144.66,2.9,378.21,14,7.5
CUST_00126,33,78222.37,12529.52,152,4.1,81.81,2.9,360.04,52,7.2
CUST_00127,18,40441.72,158.15,4,0.2,41.99,1.8,7.32,90,7.5
CUST_00128,26,36162.54,936.2,32,1.5,28.27,2.1,37.15,53,4.7
CUST_00129,30,146194.68,185156.15,781,7.1,227.09,8.7,1773.53,32,9.8
CUST_00130,44,39326.83,10617.38,83,2.6,124.38,2.5,353.91,5,10.0
CUST_00131,44,74233.15,54853.89,394,5.5,136.12,5.6,816.28,49,7.3
CUST_00132,36,64863.07,4078.18,59,2.5,69.48,2.0,169.92,33,5.3
CUST_00133,46,139091.73,182766.66,374,6.5,464.61,5.8,2625.96,9,10.0
CUST_00134,32,64599.14,7998.02,83,1.5,100.54,5.1,130.69,31,7.8
CUST_00135,54,88619.67,6339.12,40,0.6,170.05,5.1,103.58,214,3.9
CUST_00136,40,77864.11,7567.56,75,2.6,97.26,2.7,233.57,42,7.4
CUST_00137,32,83243.73,11255.66,101,2.5,117.63,3.2,293.12,19,5.3
CUST_00138,29,29740.69,488.17,9,0.5,52.51,1.7,23.93,48,5.2
CUST_00139,42,51350.79,3238.73,35,3.6,96.65,0.9,299.88,21,7.9
CUST_00140,39,98960.73,9303.35,33,0.6,276.6,4.0,193.82,76,3.3
CUST_00141,57,95727.49,7374.93,29,0.6,260.08,3.5,175.59,200,3.6
CUST_00142,39,58514.81,19035.39,248,4.0,75.86,5.1,311.04,40,7.9
CUST_00143,48,70875.16,5155.79,62,2.7,79.78,2.0,214.82,34,6.9
CUST_00144,63,85420.16,24123.22,250,3.7,98.98,5.2,386.59,30,7.0
CUST_00145,40,77837.55,10256.77,106,2.9,92.18,3.5,244.21,14,8.6
CUST_00146,67,169983.42,122637.43,359,9.1,341.43,3.0,3406.6,2,8.4
CUST_00147,40,90796.99,34505.76,287,4.2,119.81,4.9,586.83,14,7.0
CUST_00148,50,71227.16,13108.01,160,2.9,79.11,4.4,248.26,33,7.5
CUST_00149,38,,103612.95,380,9.7,262.33,3.6,2398.45,7,10.0
CUST_00150,31,91630.75,737.56,6,2.2,123.17,0.2,307.32,5,6.6
CUST_00151,60,149946.57,2472.64,16,0.2,161.99,6.6,31.22,166,3.5
CUST_00152,60,86562.07,25494.23,127,2.9,200.44,3.7,574.19,44,6.5
CUST_00153,42,118063.63,23277.54,63,8.1,386.95,0.7,2771.14,8,9.5
CUST_00154,27,65643.6,4093.21,41,1.4,100.1,2.7,126.33,45,5.8
CUST_00155,59,115731.05,8319.0,29,0.5,289.92,4.4,157.56,193,3.2
CUST_00156,35,73149.14,5571.22,34,1.1,171.27,2.6,178.56,37,7.6
CUST_00157,29,29119.07,381.58,6,0.3,65.33,1.8,17.67,34,4.5
CUST_00158,25,45304.61,550.83,10,0.4,53.05,2.0,22.95,83,6.5
CUST_00159,46,107915.43,29392.45,187,2.5,158.72,7.4,331.0,40,7.7
CUST_00160,18,33636.91,702.1,14,1.2,50.85,1.0,58.51,15,5.8
CUST_00161,51,69199.82,25293.31,207,3.6,120.25,4.8,439.12,30,5.9
CUST_00162,24,82640.29,14901.33,146,3.1,97.28,3.5,354.79,30,
CUST_00163,33,51884.03,20055.58,184,3.0,110.94,4.8,348.19,59,7.2
CUST_00164,41,54316.15,8392.12,128,3.8,63.34,3.1,225.59,38,7.3
CUST_00165,45,165928.97,166819.35,757,10.5,220.38,6.2,2242.2,1,8.9
CUST_00166,18,36771.95,882.43,19,0.7,43.9,2.1,35.02,66,4.8
CUST_00167,37,90068.92,16266.39,155,3.8,101.69,3.8,356.72,41,5.9
CUST_00168,40,137433.28,67674.19,229,5.8,298.79,2.9,1944.66,3,8.9
CUST_00169,37,141701.81,229852.9,773,8.5,294.9,7.6,2520.32,15,8.9
CUST_00170,38,84083.91,11343.22,99,2.2,117.4,3.6,262.57,20,9.8
CUST_00171,26,40160.3,137.65,9,0.4,15.22,2.0,5.74,83,7.8
CUST_00172,37,98582.69,73083.99,311,5.6,240.98,4.8,1268.82,1,9.3
CUST_00173,34,71785.94,16754.25,139,3.3,123.08,3.8,367.42,47,7.6
CUST_00174,43,48266.65,24433.65,179,3.7,131.87,3.6,565.59,24,6.5
CUST_00175,31,80046.21,26254.2,190,2.8,137.24,5.4,405.16,36,7.1
CUST_00176,42,158665.28,192263.21,831,12.1,228.87,6.2,2584.18,2,8.8
CUST_00177,18,35957.27,187.71,5,0.4,38.11,1.0,15.64,16,4.9
CUST_00178,68,81753.34,8982.98,113,4.6,80.24,1.9,393.99,26,5.9
CUST_00179,50,135109.85,264.55,1,0.0,264.55,3.8,5.8,229,
CUST_00180,49,145662.63,75039.57,225,4.7,339.51,3.9,1603.41,34,9.0
CUST_00181,33,75207.13,9547.46,107,4.9,90.94,1.8,442.01,34,7.8
CUST_00182,39,93835.67,123993.56,490,9.6,259.79,4.6,,16,8.3
CUST_00183,44,110805.87,19404.53,61,0.8,331.86,5.7,283.69,83,4.7
CUST_00184,31,46105.61,1551.43,33,0.9,47.12,2.9,44.58,55,
CUST_00185,47,59335.07,7599.98,195,3.2,40.12,4.7,134.75,26,
CUST_00186,25,20000.0,1682.69,37,1.0,43.32,3.6,38.95,53,6.5
CUST_00187,48,29119.42,1508.42,57,1.1,27.57,4.0,31.43,120,6.3
CUST_00188,46,67959.72,13375.72,86,3.4,157.44,2.1,530.78,30,7.2
CUST_00189,55,67495.1,24576.67,231,4.1,104.1,4.4,465.47,39,7.9
CUST_00190,33,84236.48,4084.49,68,2.5,64.19,2.5,136.15,27,6.3
CUST_00191,40,155299.82,23811.3,99,3.6,235.06,2.0,992.14,16,9.0
CUST_00192,34,44528.69,459.79,15,1.3,31.43,1.0,38.32,31,6.7
CUST_00193,62,161934.0,5684.28,31,0.7,189.51,3.4,139.32,195,1.4
CUST_00194,22,60361.88,14525.2,110,2.6,129.77,3.6,336.23,50,7.9
CUST_00195,57,78237.4,7689.64,82,4.6,,1.3,492.93,48,8.9
CUST_00196,43,375993.3,10144.83,100,4.5,104.93,1.8,469.67,36,8.0
CUST_00197,36,,908.28,19,0.8,48.29,1.7,44.52,78,5.5
CUST_00198,40,33967.73,190.48,7,0.6,26.26,1.0,,58,7.4
CUST_00199,21,36507.81,196.15,10,0.8,19.88,1.2,13.62,59,5.5
CUST_00200,35,36786.25,392.99,10,1.3,40.52,0.6,54.58,69,5.8
CUST_00201,31,75267.04,7292.19,78,1.5,93.84,4.4,138.11,31,7.5
CUST_00202,56,120706.48,77240.77,334,6.5,231.91,4.5,1430.38,18,9.2
CUST_00203,41,121381.08,172463.83,519,8.2,,4.8,2994.16,2,7.3
CUST_00204,24,32364.09,399.37,34,0.8,11.59,4.0,8.32,15,5.8
CUST_00205,45,77631.84,21251.36,231,4.4,93.81,3.8,466.04,48,5.4
CUST_00206,35,94823.97,127724.24,437,7.4,286.85,5.0,2128.74,1,8.2
CUST_00207,45,134097.4,30811.88,154,3.0,202.32,4.8,534.93,19,8.4
CUST_00208,45,25062.03,142.33,4,0.5,,0.6,19.77,75,
CUST_00209,70,83764.19,133888.58,522,6.4,244.82,6.7,1665.28,13,
CUST_00210,51,136221.19,90827.84,372,5.7,256.0,5.5,1376.18,11,7.9
CUST_00211,22,39330.48,9851.52,85,3.4,113.09,2.2,373.16,37,5.6
CUST_00212,38,36917.02,166.15,4,0.1,41.74,2.9,4.77,35,5.3
CUST_00213,35,35728.75,215.95,11,0.9,19.62,1.0,,93,5.5
CUST_00214,51,64102.02,9556.16,72,2.4,136.29,2.6,306.29,24,7.9
CUST_00215,26,20000.0,227.1,6,0.4,38.41,1.3,14.56,35,7.0
CUST_00216,36,69336.06,24866.84,222,4.2,109.4,4.7,440.9,23,5.2
CUST_00217,29,62741.82,17554.9,139,2.9,130.64,3.7,395.38,25,7.1
CUST_00218,41,37734.6,568.89,19,0.7,,1.9,24.95,43,5.1
CUST_00219,47,68671.68,8884.13,72,5.0,119.6,1.1,673.04,13,6.7
CUST_00220,31,48636.74,538.27,10,1.3,54.79,0.7,64.08,49,5.4
CUST_00221,19,33372.31,1380.35,27,1.2,51.08,2.0,57.51,46,3.2
CUST_00222,37,76403.06,15634.01,137,2.9,113.74,3.9,334.06,57,7.6
CUST_00223,41,127495.05,153780.15,587,10.8,269.0,5.2,2464.43,20,8.8
CUST_00224,45,40037.43,34130.98,303,4.2,111.23,5.6,507.9,43,7.8
CUST_00225,36,51391.66,22220.48,302,4.6,73.74,5.2,356.1,13,7.0
CUST_00226,30,74174.24,10448.59,68,1.0,157.44,5.7,152.76,28,7.8
CUST_00227,54,121177.51,9834.54,43,0.6,224.45,6.1,134.35,131,1.1
CUST_00228,23,70436.43,9881.66,60,2.4,163.98,2.1,392.13,47,6.9
CUST_00229,36,31637.85,1020.55,31,1.1,32.99,2.1,40.5,47,7.4
CUST_00230,45,38180.84,5793.21,64,2.4,91.37,2.3,209.9,47,
CUST_00231,18,31934.28,665.37,23,0.8,30.26,2.7,20.54,73,7.9
CUST_00232,43,91514.12,9777.44,90,3.2,109.14,2.5,325.91,36,7.7
CUST_00233,26,81709.99,2437.03,15,1.9,174.07,0.6,338.48,27,8.0
CUST_00234,58,37283.16,37754.58,232,3.8,159.21,5.5,572.04,17,8.8
CUST_00235,37,166369.45,174528.54,639,9.0,282.93,5.4,2693.34,7,7.9
CUST_00236,29,30003.92,1457.9,31,0.9,46.28,2.9,41.89,92,6.7
CUST_00237,41,57026.82,9262.21,97,2.7,99.68,3.5,220.53,29,6.1
CUST_00238,25,123296.42,97206.23,360,4.8,280.94,5.9,1372.97,10,9.6
CUST_00239,62,59406.91,28371.15,187,2.8,155.17,5.7,414.78,67,6.9
CUST_00240,29,163702.11,169958.35,620,8.5,259.61,5.9,2400.54,10,8.0
CUST_00241,52,98913.22,8314.53,42,0.6,200.59,6.2,111.75,155,2.9
CUST_00242,58,114212.72,1806.07,9,0.1,191.07,6.5,23.15,200,3.2
CUST_00243,55,276369.48,9724.77,52,0.5,184.45,8.3,97.64,60,3.0
CUST_00244,34,77855.49,7359.54,131,2.9,56.62,3.2,191.65,20,7.7
CUST_00245,62,137561.87,171854.85,739,9.4,231.35,6.2,2309.88,34,9.1
CUST_00246,51,94658.43,9889.64,38,0.5,257.67,6.5,126.79,197,2.8
CUST_00247,20,92000.81,18683.87,146,2.9,126.29,4.5,346.0,36,8.7
CUST_00248,28,96261.8,22045.69,71,0.7,298.63,9.5,193.38,105,4.5
CUST_00249,59,68001.97,4010.01,31,0.5,129.02,5.3,63.05,147,4.2
CUST_00250,26,36937.07,752.09,25,0.9,29.54,2.3,27.25,81,3.7
CUST_00251,38,283534.94,12695.23,91,2.5,131.77,2.7,391.83,37,8.0
CUST_00252,38,36175.61,48686.19,344,5.3,148.52,5.6,724.5,5,7.7
CUST_00253,25,26326.05,966.83,22,0.8,44.1,2.1,38.37,66,4.3
CUST_00254,31,60930.62,955.45,9,1.8,103.67,0.4,199.05,56,6.6
CUST_00255,37,110467.83,293776.58,766,9.9,400.16,5.6,4371.68,15,8.4
CUST_00256,29,70425.48,15573.86,155,3.2,103.49,4.6,282.14,35,6.5
CUST_00257,44,59112.57,10822.28,65,0.6,171.33,8.1,111.34,245,3.3
CUST_00258,19,41853.9,1064.57,32,1.1,32.89,2.5,35.49,76,5.5
CUST_00259,44,43425.83,15021.59,170,4.9,86.99,2.7,463.63,25,6.7
CUST_00260,32,84792.98,142038.38,527,7.8,276.85,5.0,2367.31,12,8.7
CUST_00261,33,66313.47,19240.34,190,3.4,99.98,4.8,334.03,54,9.3
CUST_00262,34,116495.22,16714.2,79,0.6,215.77,12.0,116.07,157,3.8
CUST_00263,52,108880.83,48842.74,176,3.0,267.44,5.4,753.75,12,8.6
CUST_00264,25,80556.32,12115.85,88,2.7,135.6,2.9,348.16,35,7.8
CUST_00265,20,23761.46,744.37,16,0.8,45.52,2.1,29.54,63,6.1
CUST_00266,18,50107.5,732.58,25,1.2,27.97,1.8,33.92,72,4.1
CUST_00267,34,32152.21,710.76,30,1.2,23.21,2.0,29.62,47,6.4
CUST_00268,50,33895.34,1807.86,30,0.9,61.31,2.7,55.8,21,5.9
CUST_00269,18,34401.43,15681.3,154,3.3,101.45,4.0,326.69,33,10.0
CUST_00270,34,79651.87,8892.35,90,3.5,102.85,2.3,322.19,28,9.2
CUST_00271,41,36093.97,251.98,1,0.8,70.44,0.1,58.7,59,7.2
CUST_00272,44,36751.71,47.04,1,0.1,46.21,1.0,3.92,44,6.0
CUST_00273,18,32878.1,672.26,26,1.0,24.62,2.0,,94,5.0
CUST_00274,29,102601.48,9186.01,32,0.5,278.11,6.1,125.49,149,3.1
CUST_00275,24,84308.3,6888.84,129,2.8,52.86,3.8,151.07,56,5.8
CUST_00276,30,77375.17,1193.2,27,1.7,46.28,1.3,76.49,45,6.6
CUST_00277,59,27045.16,287.6,7,0.7,40.92,0.9,26.63,53,6.6
CUST_00278,26,51276.12,366.44,4,1.0,94.46,0.3,101.79,30,6.5
CUST_00279,42,44824.24,126.26,4,0.2,31.2,1.6,6.58,50,4.9
CUST_00280,23,29772.3,388.91,10,0.6,40.5,1.5,21.61,74,4.6
CUST_00281,42,27159.5,28.33,1,1.1,28.19,0.1,23.61,73,2.7
CUST_00282,54,82084.4,2996.0,19,1.7,160.17,0.8,312.08,23,6.3
CUST_00283,18,66738.33,55093.45,154,3.9,68.03,3.1,282.35,12,7.7
CUST_00284,55,100721.19,242087.64,712,7.6,345.51,7.7,2620.0,6,10.0
CUST_00285,37,42152.77,5728.44,78,3.0,77.06,2.3,207.55,5,7.1
CUST_00286,37,184317.29,151583.48,539,8.4,272.85,5.7,2216.13,6,8.9
CUST_00287,47,43898.38,18135.86,124,2.1,147.57,4.7,321.56,37,7.9
CUST_00288,38,45714.34,9875.09,87,3.9,115.0,2.0,411.46,52,7.6
CUST_00289,26,60059.04,6540.77,41,1.0,160.2,3.7,147.31,41,8.5
CUST_00290,19,90668.48,22057.68,169,1.9,133.14,7.5,245.09,35,5.5
CUST_00291,49,160840.08,93863.68,532,9.8,179.99,4.3,1819.06,2,7.5
CUST_00292,46,123792.49,186437.87,605,6.4,295.42,6.9,2251.67,6,8.9
CUST_00293,25,51430.55,808.81,21,1.7,38.42,1.0,67.4,30,7.6
CUST_00294,39,84766.86,20388.45,224,3.5,92.23,5.7,298.08,49,7.2
CUST_00295,51,86156.74,167905.81,466,6.2,379.2,6.4,2186.27,29,9.4
CUST_00296,50,90185.52,9047.46,108,2.2,85.08,3.7,203.77,61,7.4
CUST_00297,47,38988.84,1132.04,50,1.3,23.32,2.9,32.53,72,4.2
CUST_00298,34,81602.54,5459.43,85,3.8,65.05,1.7,267.62,52,6.5
CUST_00299,25,50469.66,4108.18,42,1.3,93.55,2.5,136.94,51,
CUST_00300,33,145656.58,312482.45,915,11.4,327.44,5.8,,6,9.1
CUST_00301,47,149980.7,228857.07,884,6.9,260.93,10.5,1816.33,4,8.9
CUST_00302,31,74305.11,10537.41,121,2.8,88.92,3.4,258.27,6,6.4
CUST_00303,31,74268.47,16455.58,204,2.6,79.29,7.0,195.9,24,7.4
CUST_00304,45,82925.18,26995.43,257,4.2,101.63,5.0,449.92,65,6.8
CUST_00305,31,45366.62,113.28,3,0.1,38.07,2.7,3.5,86,4.1
CUST_00306,56,113583.39,9092.8,33,0.3,259.79,8.6,88.11,167,5.3
CUST_00307,71,95074.96,34782.37,276,5.5,128.1,4.4,658.76,21,7.2
CUST_00308,47,84389.31,3256.78,33,2.1,99.76,1.5,180.93,43,7.9
CUST_00309,31,28324.57,1227.66,23,0.5,53.63,4.1,24.95,83,7.5
CUST_00310,32,69860.19,14678.51,127,2.7,116.76,3.6,339.78,58,5.8
CUST_00311,30,60513.82,15557.76,121,3.1,133.17,3.3,392.87,35,7.5
CUST_00312,48,146135.1,243001.85,627,7.3,378.78,6.9,2934.8,1,10.0
CUST_00313,47,122048.38,82596.61,393,8.0,211.99,4.3,,15,9.1
CUST_00314,44,63816.64,4787.66,27,0.6,,3.4,117.34,207,2.1
CUST_00315,34,28904.99,299.83,9,0.3,32.56,2.5,9.99,43,6.9
CUST_00316,34,25139.39,648.44,13,0.6,49.4,1.8,30.02,96,3.9
CUST_00317,47,59650.56,22103.2,127,3.2,164.5,3.0,613.98,19,8.1
CUST_00318,33,108985.16,69628.72,568,7.5,120.0,5.6,1036.14,1,9.8
CUST_00319,44,157083.11,183055.71,632,7.1,283.82,6.7,2276.81,9,8.5
CUST_00320,33,50505.76,25971.29,278,4.1,95.33,5.8,373.15,25,6.4
CUST_00321,33,76741.02,10265.13,80,2.8,129.24,2.5,342.17,12,6.8
CUST_00322,18,35867.3,22.88,1,1.3,22.22,0.1,19.07,20,5.3
CUST_00323,47,40689.54,34.06,1,0.4,33.25,0.1,28.38,120,4.6
CUST_00324,26,94911.44,16107.16,186,4.3,88.19,3.9,344.17,33,8.6
