CustomerID,Age,Income,Membership,Tenure,TotalSpend,TotalTransactions,AvgOrderValue,PurchaseFrequency
CUST000070,64,82225,Bronze,1.2,654.01,7,93.43,5.8
CUST000071,52,68245,Free,3.3,696.96,8,87.12,2.4
CUST000072,31,63482,Free,4.2,339.24,4,84.81,1.0
CUST000073,34,66698,Free,4.6,691.52,8,86.44,1.7
CUST000074,53,59188,Free,4.0,295.28,4,73.82,1.0
CUST000075,67,78762,Bronze,3.2,1321.92,16,82.62,5.0
CUST000076,57,113999,Gold,0.1,132.3,1,132.3,10.0
CUST000077,21,111818,Gold,2.3,3176.75,25,127.07,10.9
CUST000078,19,97837,Gold,3.9,4217.6,32,131.8,8.2
CUST000079,23,49788,Free,3.0,163.26,3,54.42,1.0
CUST000080,71,48436,Free,0.2,64.3,1,64.3,5.0
CUST000081,59,206840,Platinum,0.3,2350.32,8,293.79,26.7
CUST000082,21,66490,Silver,6.2,4998.78,54,92.57,8.7
CUST000083,71,46830,Free,1.6,159.8,2,79.9,1.2
CUST000084,46,61711,Free,4.9,235.89,3,78.63,0.6
CUST000085,35,72597,Bronze,4.0,806.88,8,100.86,2.0
CUST000086,43,77616,Bronze,4.7,1316.14,14,94.01,3.0
CUST000087,61,98324,Gold,0.3,353.67,3,117.89,10.0
CUST000088,51,46184,Free,1.2,304.32,4,76.08,3.3
CUST000089,27,59208,Free,4.1,393.05,7,56.15,1.7
CUST000090,53,31040,Bronze,0.7,268.76,4,67.19,5.7
CUST000091,31,48373,Free,5.0,575.36,8,71.92,1.6
CUST000092,48,29960,Bronze,6.4,2218.15,37,59.95,5.8
CUST000093,65,31265,Silver,3.4,982.26,18,54.57,5.3
CUST000094,32,15000,Free,2.5,93.81,3,31.27,1.2
CUST000095,25,75669,Silver,0.5,385.35,5,77.07,10.0
CUST000096,31,26418,Free,1.4,149.16,4,37.29,2.9
CUST000097,40,51798,Bronze,6.4,2576.7,35,73.62,5.5
CUST000098,74,81867,Bronze,1.6,567.21,7,81.03,4.4
CUST000099,57,39614,Free,0.7,88.06,2,44.03,2.9
CUST000100,38,53961,Bronze,6.0,1221.92,16,76.37,2.7
CUST000101,33,62427,Free,4.0,466.92,6,77.82,1.5
CUST000102,62,51419,Free,0.7,168.66,2,84.33,2.9
CUST000103,35,38794,Free,3.5,287.72,4,71.93,1.1
CUST000104,64,49928,Free,4.2,725.76,9,80.64,2.1
CUST000105,70,41626,Silver,3.3,1004.19,17,59.07,5.2
CUST000106,41,35530,Free,4.5,239.25,5,47.85,1.1
CUST000107,43,94646,Silver,1.8,529.83,7,75.69,3.9
CUST000108,42,61540,Gold,0.3,474.15,5,94.83,16.7
CUST000109,62,34597,Free,6.2,705.0,12,58.75,1.9
CUST000110,58,39110,Free,4.3,139.8,3,46.6,0.7
CUST000111,46,35528,Free,1.2,110.6,2,55.3,1.7
CUST000112,32,50299,Free,0.2,80.85,1,80.85,5.0
CUST000113,62,47118,Free,1.5,301.6,4,75.4,2.7
CUST000114,18,75671,Silver,2.8,1950.16,19,102.64,6.8
CUST000115,42,54813,Free,6.3,1234.08,16,77.13,2.5
CUST000116,24,75668,Silver,4.7,1631.91,19,85.89,4.0
CUST000117,26,65532,Free,1.9,212.64,3,70.88,1.6
CUST000118,41,59536,Free,5.4,670.01,11,60.91,2.0
CUST000119,18,41585,Free,4.5,349.02,7,49.86,1.6
CUST000120,61,66596,Free,3.4,437.57,7,62.51,2.1
CUST000121,25,35949,Free,0.5,50.49,1,50.49,2.0
CUST000122,41,56137,Bronze,3.9,549.27,9,61.03,2.3
CUST000123,28,66621,Silver,0.9,521.28,9,57.92,10.0
CUST000124,68,57360,Free,5.5,378.56,7,54.08,1.3
CUST000125,34,70857,Silver,1.1,733.5,9,81.5,8.2
CUST000126,25,42717,Free,1.8,250.04,4,62.51,2.2
CUST000127,52,42861,Free,2.2,222.09,3,74.03,1.4
CUST000128,52,87933,Silver,5.0,3324.24,36,92.34,7.2
CUST000129,50,93378,Gold,2.9,3860.4,30,128.68,10.3
CUST000130,22,79319,Silver,5.6,3920.8,52,75.4,9.3
CUST000131,59,15000,Free,2.4,328.3,7,46.9,2.9
CUST000132,56,75218,Platinum,1.8,9840.64,62,158.72,34.4
CUST000133,75,90743,Silver,5.8,2390.4,24,99.6,4.1
CUST000134,58,17132,Bronze,5.4,1117.37,29,38.53,5.4
CUST000135,45,75935,Platinum,4.7,23615.48,161,146.68,34.3
CUST000136,24,65011,Silver,1.1,590.31,7,84.33,6.4
CUST000137,26,82579,Silver,1.6,523.28,8,65.41,5.0
CUST000138,25,40289,Gold,6.2,7497.4,95,78.92,15.3
CUST000139,29,44446,Free,2.5,372.75,5,74.55,2.0
CUST000140,51,80412,Silver,4.4,3282.36,34,96.54,7.7
CUST000141,50,36887,Free,2.1,424.8,6,70.8,2.9
CUST000142,65,130056,Platinum,2.4,18118.6,73,248.2,30.4
CUST000143,72,80889,Bronze,2.1,810.12,12,67.51,5.7
CUST000144,40,68797,Silver,2.0,1296.54,14,92.61,7.0
CUST000145,41,62903,Bronze,6.2,1353.88,17,79.64,2.7
CUST000146,54,48743,Silver,5.7,3132.8,44,71.2,7.7
CUST000147,52,34387,Free,4.8,349.92,8,43.74,1.7
CUST000148,61,70834,Bronze,3.7,590.04,9,65.56,2.4
CUST000149,57,58676,Silver,6.0,3364.14,38,88.53,6.3
CUST000150,39,30688,Free,5.1,332.6,5,66.52,1.0
CUST000151,44,27360,Free,5.6,509.08,11,46.28,2.0
CUST000152,52,20297,Bronze,4.9,683.24,19,35.96,3.9
CUST000153,18,34452,Free,6.0,247.04,4,61.76,0.7
CUST000154,52,44787,Free,3.9,266.4,5,53.28,1.3
CUST000155,54,63454,Free,3.8,653.52,8,81.69,2.1
CUST000156,64,57867,Free,3.5,299.15,5,59.83,1.4
CUST000157,31,85662,Gold,5.1,11671.66,77,151.58,15.1
CUST000158,20,82594,Gold,0.7,1186.08,8,148.26,11.4
CUST000159,18,52594,Silver,5.3,3471.89,47,73.87,8.9
CUST000160,22,20641,Free,2.3,131.19,3,43.73,1.3
CUST000161,43,38803,Silver,5.6,3060.18,54,56.67,9.6
CUST000162,72,56238,Bronze,3.3,1017.6,12,84.8,3.6
CUST000163,31,61023,Silver,3.5,1633.8,21,77.8,6.0
CUST000164,56,56905,Bronze,5.3,2294.93,31,74.03,5.8
CUST000165,44,27601,Free,3.3,389.04,6,64.84,1.8
CUST000166,26,54893,Silver,2.2,1202.46,21,57.26,9.5
CUST000167,32,45560,Bronze,0.6,135.58,2,67.79,3.3
CUST000168,32,125635,Gold,6.1,12433.48,62,200.54,10.2
CUST000169,43,80134,Silver,4.8,1695.87,27,62.81,5.6
CUST000170,59,42204,Free,4.1,429.78,6,71.63,1.5
CUST000171,30,88280,Silver,4.9,3311.13,37,89.49,7.6
CUST000172,68,72994,Bronze,4.7,2126.52,22,96.66,4.7
CUST000173,49,47563,Free,0.6,70.37,1,70.37,1.7
CUST000174,56,66373,Bronze,0.8,248.25,3,82.75,3.8
CUST000175,66,21684,Free,3.7,545.27,11,49.57,3.0
CUST000176,69,51672,Free,4.8,478.17,7,68.31,1.5
CUST000177,49,58779,Free,2.0,276.4,4,69.1,2.0
CUST000178,21,53362,Free,6.0,765.44,13,58.88,2.2
CUST000179,47,46395,Free,1.2,229.32,3,76.44,2.5
CUST000180,54,72389,Silver,5.1,2851.96,41,69.56,8.0
CUST000181,40,53407,Free,1.0,171.42,2,85.71,2.0
CUST000182,56,82135,Bronze,1.6,810.45,9,90.05,5.6
CUST000183,62,74829,Bronze,2.8,1277.22,14,91.23,5.0
CUST000184,32,65737,Free,3.2,721.98,9,80.22,2.8
CUST000185,60,122517,Platinum,1.9,8845.65,45,196.57,23.7
CUST000186,46,59938,Bronze,1.3,222.69,3,74.23,2.3
CUST000187,53,81052,Silver,6.3,2906.88,32,90.84,5.1
CUST000188,30,75713,Bronze,5.7,1374.56,16,85.91,2.8
CUST000189,49,72931,Silver,4.0,1424.28,22,64.74,5.5
CUST000190,24,180707,Platinum,5.0,32234.16,84,383.74,16.8
CUST000191,68,24561,Free,2.8,433.51,7,61.93,2.5
CUST000192,39,73527,Bronze,4.7,661.2,10,66.12,2.1
CUST000193,45,54370,Bronze,1.8,712.3,10,71.23,5.6
CUST000194,19,164567,Platinum,1.1,7580.16,24,315.84,21.8
CUST000195,59,37021,Free,4.8,212.16,4,53.04,0.8
CUST000196,62,83538,Silver,5.6,3892.13,41,94.93,7.3
CUST000197,74,62877,Free,1.5,78.77,1,78.77,0.7
CUST000198,70,77891,Gold,5.0,6080.34,62,98.07,12.4
CUST000199,23,41115,Bronze,4.0,675.09,9,75.01,2.2
CUST000200,45,104264,Gold,6.0,16995.96,108,157.37,18.0
CUST000201,45,126315,Gold,6.3,12689.6,88,144.2,14.0
CUST000202,61,95006,Bronze,4.2,1823.81,19,95.99,4.5
CUST000203,61,99381,Silver,4.3,2751.12,24,114.63,5.6
CUST000204,37,45992,Silver,5.3,3130.0,50,62.6,9.4
CUST000205,47,58373,Bronze,6.1,2188.8,32,68.4,5.2
CUST000206,28,50595,Bronze,1.3,397.2,6,66.2,4.6
CUST000207,75,42710,Free,2.1,396.78,6,66.13,2.9
CUST000208,72,48039,Free,2.4,189.87,3,63.29,1.2
CUST000209,45,171190,Platinum,0.6,5484.8,20,274.24,33.3
CUST000210,42,53866,Free,1.6,237.16,4,59.29,2.5
CUST000211,56,89723,Silver,1.8,1592.64,14,113.76,7.8
CUST000212,50,39571,Free,4.8,431.1,9,47.9,1.9
CUST000213,18,93831,Bronze,1.9,492.9,5,98.58,2.6
CUST000214,74,44446,Free,3.1,265.32,4,66.33,1.3
CUST000215,44,72461,Bronze,6.4,2101.68,24,87.57,3.8
CUST000216,74,68262,Free,4.3,251.88,4,62.97,0.9
CUST000217,69,27496,Bronze,2.0,263.15,5,52.63,2.5
CUST000218,30,66331,Bronze,4.2,1200.45,15,80.03,3.6
CUST000219,58,30058,Silver,1.6,665.6,10,66.56,6.2
CUST000220,20,36411,Bronze,1.4,189.24,4,47.31,2.9
CUST000221,56,96450,Gold,2.6,5248.92,34,154.38,13.1
CUST000222,23,45873,Silver,1.0,255.35,5,51.07,5.0
CUST000223,25,51581,Free,2.7,363.95,5,72.79,1.9
CUST000224,44,46126,Free,5.6,507.15,7,72.45,1.2
CUST000225,26,34177,Free,3.0,162.18,3,54.06,1.0
CUST000226,54,21629,Free,1.3,170.7,3,56.9,2.3
CUST000227,50,87986,Bronze,1.8,354.96,4,88.74,2.2
CUST000228,68,99222,Gold,2.9,6590.4,48,137.3,16.6
CUST000229,59,48009,Bronze,3.4,630.85,11,57.35,3.2
CUST000230,61,49522,Silver,4.4,2816.9,34,82.85,7.7
CUST000231,41,28805,Free,5.6,117.66,3,39.22,0.5
CUST000232,32,46390,Free,1.5,140.73,3,46.91,2.0
CUST000233,71,80648,Silver,5.0,2773.65,41,67.65,8.2
CUST000234,49,51407,Free,4.3,440.93,7,62.99,1.6
CUST000235,49,125505,Gold,2.6,6424.44,33,194.68,12.7
CUST000236,41,49417,Free,1.2,150.14,2,75.07,1.7
CUST000237,58,132519,Gold,4.9,12085.35,69,175.15,14.1
CUST000238,69,63952,Silver,1.5,1186.12,13,91.24,8.7
CUST000239,66,27533,Bronze,3.3,429.66,7,61.38,2.1
CUST000240,66,62623,Gold,2.8,4226.5,50,84.53,17.9
CUST000241,75,39677,Free,4.7,393.04,8,49.13,1.7
CUST000242,69,40137,Free,3.9,483.12,9,53.68,2.3
CUST000243,29,34377,Free,1.7,130.72,2,65.36,1.2
CUST000244,56,52879,Free,4.9,778.08,12,64.84,2.4
CUST000245,19,87065,Bronze,4.5,2014.8,23,87.6,5.1
CUST000246,20,38453,Gold,3.9,4347.47,61,71.27,15.6
CUST000247,66,56074,Free,0.4,59.9,1,59.9,2.5
CUST000248,54,81917,Gold,6.2,9327.6,90,103.64,14.5
CUST000249,66,52270,Gold,0.3,432.95,5,86.59,16.7
CUST000250,73,38590,Silver,5.2,1468.32,28,52.44,5.4
CUST000251,34,81928,Gold,1.5,3084.4,22,140.2,14.7
CUST000252,66,52989,Silver,0.1,50.63,1,50.63,10.0
CUST000253,19,45923,Bronze,0.3,77.29,1,77.29,3.3
CUST000254,19,38574,Bronze,0.5,55.48,1,55.48,2.0
CUST000255,45,102703,Bronze,5.8,2207.94,21,105.14,3.6
CUST000256,71,45903,Free,4.9,489.92,8,61.24,1.6
CUST000257,40,53754,Free,3.3,284.04,4,71.01,1.2
CUST000258,54,84576,Bronze,5.9,2385.54,29,82.26,4.9
CUST000259,49,36896,Free,3.6,98.54,2,49.27,0.6
CUST000260,50,131567,Platinum,2.2,15995.07,63,253.89,28.6
CUST000261,18,68139,Bronze,0.1,92.41,1,92.41,10.0
CUST000262,36,28491,Free,5.2,629.2,13,48.4,2.5
CUST000263,19,28947,Free,6.3,745.28,16,46.58,2.5
CUST000264,70,107015,Bronze,1.1,614.25,7,87.75,6.4
CUST000265,61,83145,Free,6.3,1278.06,17,75.18,2.7
CUST000266,43,21578,Free,1.6,219.6,4,54.9,2.5
CUST000267,49,158983,Platinum,3.8,36176.34,102,354.67,26.8
CUST000268,23,52869,Free,1.3,206.01,3,68.67,2.3
CUST000269,49,70006,Silver,1.9,1153.08,18,64.06,9.5
CUST000270,72,31760,Free,6.4,211.8,5,42.36,0.8
CUST000271,21,69968,Gold,2.7,3819.2,28,136.4,10.4
CUST000272,72,90502,Bronze,2.2,421.98,6,70.33,2.7
CUST000273,28,100796,Silver,4.0,2413.11,21,114.91,5.2
CUST000274,73,63903,Silver,0.4,279.0,3,93.0,7.5
CUST000275,34,37124,Bronze,1.4,352.24,7,50.32,5.0
CUST000276,55,41732,Free,6.1,714.28,14,51.02,2.3
CUST000277,41,55092,Bronze,5.6,2303.37,27,85.31,4.8
CUST000278,22,32948,Free,3.1,407.52,8,50.94,2.6
CUST000279,69,59819,Bronze,4.9,1352.61,21,64.41,4.3
CUST000280,51,81496,Bronze,2.2,925.86,13,71.22,5.9
CUST000281,23,82042,Silver,5.1,2798.7,38,73.65,7.5
CUST000282,39,48438,Free,3.9,370.6,5,74.12,1.3
CUST000283,28,50600,Free,0.6,53.69,1,53.69,1.7
CUST000284,65,148070,Platinum,3.8,16868.28,78,216.26,20.5
CUST000285,33,78764,Gold,2.7,6383.07,47,135.81,17.4
CUST000286,50,184821,Platinum,2.6,15112.44,42,359.82,16.2
CUST000287,26,37840,Bronze,4.1,783.9,15,52.26,3.7
CUST000288,23,51001,Free,1.7,231.4,4,57.85,2.4
CUST000289,33,103658,Gold,4.3,7455.42,61,122.22,14.2
CUST000290,46,74533,Free,5.6,1279.46,14,91.39,2.5
CUST000291,20,26805,Free,5.4,285.3,5,57.06,0.9
CUST000292,37,41628,Free,3.6,292.55,5,58.51,1.4
CUST000293,53,46727,Silver,4.3,1216.38,22,55.29,5.1
CUST000294,36,64744,Free,0.9,189.62,2,94.81,2.2
CUST000295,43,49151,Silver,2.3,747.67,11,67.97,4.8
CUST000296,20,38097,Free,0.9,137.14,2,68.57,2.2
CUST000297,36,67138,Free,5.3,973.14,14,69.51,2.6
CUST000298,37,44354,Bronze,4.6,921.31,13,70.87,2.8
CUST000299,49,38689,Free,2.1,370.5,5,74.1,2.4
CUST000300,24,175843,Platinum,5.4,38680.32,112,345.36,20.7
CUST000301,69,194534,Platinum,4.5,23514.73,83,283.31,18.4
CUST000302,58,35413,Free,2.8,407.52,8,50.94,2.9
CUST000303,50,123843,Gold,4.3,8121.36,39,208.24,9.1
CUST000304,57,67642,Silver,4.3,2750.16,28,98.22,6.5
CUST000305,56,58778,Bronze,0.4,58.01,1,58.01,2.5
CUST000306,35,83958,Silver,5.2,2815.05,35,80.43,6.7
CUST000307,57,82930,Gold,4.6,8063.28,72,111.99,15.7
CUST000308,18,24066,Free,1.0,114.16,2,57.08,2.0
CUST000309,28,15000,Free,4.8,302.85,9,33.65,1.9
CUST000310,45,70862,Bronze,6.0,867.12,12,72.26,2.0
CUST000311,74,49429,Free,4.1,443.94,7,63.42,1.7
CUST000312,42,47933,Free,6.3,994.35,15,66.29,2.4
CUST000313,67,46951,Bronze,2.7,926.25,13,71.25,4.8
CUST000314,40,81275,Silver,3.6,2974.14,31,95.94,8.6
CUST000315,48,55744,Free,5.7,384.02,7,54.86,1.2
CUST000316,47,61364,Free,2.5,559.02,6,93.17,2.4
CUST000317,59,61901,Silver,0.1,80.99,1,80.99,10.0
CUST000318,52,50301,Free,0.4,65.04,1,65.04,2.5
CUST000319,24,64657,Silver,4.5,1636.76,29,56.44,6.4
CUST000320,33,97944,Platinum,4.3,22676.19,93,243.83,21.6
CUST000321,43,150317,Platinum,5.2,22443.81,123,182.47,23.7
CUST000322,65,59692,Silver,0.7,309.04,4,77.26,5.7
CUST000323,74,34289,Free,5.0,329.35,7,47.05,1.4
CUST000324,69,71571,Free,5.1,1065.57,11,96.87,2.2
CUST000325,66,31157,Silver,5.3,1920.42,47,40.86,8.9
CUST000326,19,138461,Platinum,0.4,2218.23,7,316.89,17.5
CUST000327,18,43520,Free,5.5,161.52,3,53.84,0.5
CUST000328,65,49359,Free,5.7,374.46,6,62.41,1.1
CUST000329,29,80280,Gold,3.8,6493.43,43,151.01,11.3
CUST000330,22,15000,Free,6.3,571.78,11,51.98,1.7
CUST000331,54,35719,Free,3.4,541.84,8,67.73,2.4
CUST000332,49,80407,Gold,5.3,10791.4,79,136.6,14.9
CUST000333,72,65622,Free,1.2,187.17,3,62.39,2.5
CUST000334,26,52555,Free,2.6,326.52,6,54.42,2.3
CUST000335,58,73131,Bronze,2.8,1055.56,11,95.96,3.9
CUST000336,52,96251,Silver,2.4,1099.32,12,91.61,5.0
CUST000337,36,58612,Free,0.8,66.63,1,66.63,1.2
CUST000338,65,104586,Bronze,2.7,1353.36,12,112.78,4.4
CUST000339,33,59310,Bronze,6.2,1436.02,19,75.58,3.1
CUST000340,20,83952,Bronze,3.8,2096.0,20,104.8,5.3
CUST000341,37,42375,Free,6.3,339.15,7,48.45,1.1
CUST000342,41,29672,Free,4.6,688.49,11,62.59,2.4
CUST000343,71,51857,Bronze,2.7,369.0,6,61.5,2.2
CUST000344,73,67686,Silver,2.1,995.76,12,82.98,5.7
CUST000345,50,82805,Silver,0.7,314.6,4,78.65,5.7
CUST000346,41,90869,Silver,3.1,2907.3,30,96.91,9.7
CUST000347,69,40452,Silver,5.4,3028.67,41,73.87,7.6
CUST000348,28,42360,Free,1.0,54.13,1,54.13,1.0
CUST000349,66,84847,Gold,6.0,12317.6,80,153.97,13.3
CUST000350,25,156072,Gold,4.5,17742.24,81,219.04,18.0
CUST000351,53,62100,Bronze,4.7,1305.76,16,81.61,3.4
CUST000352,55,35645,Free,4.0,237.32,4,59.33,1.0
CUST000353,57,62365,Bronze,1.6,363.68,4,90.92,2.5
CUST000354,37,78054,Bronze,1.9,578.9,7,82.7,3.7
CUST000355,52,69714,Free,6.1,1694.7,18,94.15,3.0
CUST000356,65,24502,Bronze,3.6,425.43,9,47.27,2.5
CUST000357,42,56370,Silver,2.2,1273.64,17,74.92,7.7
CUST000358,52,60894,Silver,0.2,66.76,1,66.76,5.0
CUST000359,42,43157,Free,2.7,361.36,8,45.17,3.0
CUST000360,46,82851,Free,0.7,93.04,1,93.04,1.4
CUST000361,35,59904,Silver,1.4,834.24,11,75.84,7.9
CUST000362,63,144481,Gold,4.7,8838.44,46,192.14,9.8
CUST000363,35,52242,Bronze,0.5,53.07,1,53.07,2.0
CUST000364,19,37121,Silver,0.2,109.76,2,54.88,10.0
CUST000365,71,54458,Free,3.7,476.42,7,68.06,1.9
CUST000366,52,61020,Bronze,4.0,2001.46,23,87.02,5.8
CUST000367,33,91539,Platinum,1.4,5873.25,25,234.93,17.9
CUST000368,58,82087,Silver,6.2,2544.92,28,90.89,4.5
CUST000369,53,126348,Gold,5.3,8107.19,59,137.41,11.1
CUST000370,50,73119,Bronze,1.8,585.45,9,65.05,5.0
CUST000371,21,103195,Gold,6.3,10830.96,84,128.94,13.3
CUST000372,50,48649,Free,2.5,293.76,4,73.44,1.6
CUST000373,31,55187,Free,0.7,68.14,1,68.14,1.4
CUST000374,38,59961,Free,3.4,589.04,8,73.63,2.4
CUST000375,65,41715,Bronze,5.6,945.75,15,63.05,2.7
CUST000376,37,38658,Free,1.6,127.58,2,63.79,1.2
CUST000377,73,66670,Silver,4.4,1798.29,29,62.01,6.6
CUST000378,25,92412,Gold,4.2,5211.0,50,104.22,11.9
CUST000379,24,72324,Bronze,2.9,537.44,8,67.18,2.8
CUST000380,20,48714,Free,3.1,121.78,2,60.89,0.6
CUST000381,34,99869,Gold,3.4,4502.25,29,155.25,8.5
CUST000382,50,52638,Bronze,0.7,218.16,4,54.54,5.7
CUST000383,65,52263,Silver,1.9,1041.44,16,65.09,8.4
CUST000384,29,135138,Gold,1.2,4054.22,19,213.38,15.8
CUST000385,68,127329,Platinum,2.4,18558.4,70,265.12,29.2
CUST000386,39,131070,Bronze,5.5,2128.91,17,125.23,3.1
CUST000387,72,30317,Silver,3.5,830.48,14,59.32,4.0
CUST000388,39,54224,Bronze,2.5,358.61,7,51.23,2.8
CUST000389,63,75353,Bronze,5.2,1436.16,22,65.28,4.2
CUST000390,47,73679,Bronze,3.6,710.08,8,88.76,2.2
CUST000391,55,45263,Bronze,1.7,694.17,9,77.13,5.3
CUST000392,55,115366,Bronze,1.3,715.26,6,119.21,4.6
CUST000393,62,52260,Silver,6.4,3992.85,57,70.05,8.9
CUST000394,68,32945,Free,0.7,46.78,1,46.78,1.4
CUST000395,71,63295,Bronze,6.0,1981.68,23,86.16,3.8
CUST000396,25,42107,Silver,4.5,2122.57,31,68.47,6.9
CUST000397,44,74717,Gold,1.6,2294.88,24,95.62,15.0
CUST000398,44,34684,Free,2.8,502.24,8,62.78,2.9
CUST000399,51,58783,Gold,5.5,6553.48,76,86.23,13.8
CUST000400,38,101139,Gold,2.7,5891.04,36,163.64,13.3
CUST000401,47,42431,Bronze,2.0,339.25,5,67.85,2.5
CUST000402,50,70871,Silver,1.2,680.68,7,97.24,5.8
CUST000403,45,44239,Bronze,0.6,144.64,2,72.32,3.3
CUST000404,64,177959,Platinum,6.1,51671.84,176,293.59,28.9
CUST000405,50,79393,Silver,4.4,2660.7,30,88.69,6.8
CUST000406,22,54589,Free,1.5,332.56,4,83.14,2.7
CUST000407,65,63388,Bronze,3.6,1094.7,15,72.98,4.2
CUST000408,36,92569,Bronze,5.7,1283.1,15,85.54,2.6
CUST000409,21,50081,Free,3.5,540.99,9,60.11,2.6
CUST000410,52,55081,Silver,2.0,848.3,10,84.83,5.0
CUST000411,66,27743,Free,1.9,98.62,2,49.31,1.1
CUST000412,34,74783,Bronze,0.3,67.41,1,67.41,3.3
CUST000413,61,46475,Silver,0.2,64.47,1,64.47,5.0
CUST000414,45,107589,Gold,3.0,7102.2,38,186.9,12.7
CUST000415,47,63541,Silver,3.1,2187.9,30,72.93,9.7
CUST000416,46,65192,Silver,4.7,1113.4,19,58.6,4.0
