CustomerID,Age,Gender,Income,Location,Membership,RegistrationDate
CUST000061,30,Male,61500,Georgia,Bronze,2024-04-22
CUST000062,33,Male,42100,New York,Silver,2023-07-27
CUST000063,22,Male,50500,Florida,Gold,2022-09-04
CUST000064,21,Male,35400,North Carolina,Free,2024-01-03
CUST000065,45,Female,54000,California,Free,2023-11-30
CUST000066,52,Female,33000,New York,Bronze,2024-08-30
CUST000067,35,Male,52500,Washington,Free,2022-06-27
CUST000068,48,Male,39300,Florida,Free,2025-04-10
CUST000069,40,Male,32600,North Carolina,Free,2023-05-01
CUST000070,28,Male,82900,Florida,Free,2022-10-26
CUST000071,40,Male,72900,California,Silver,2026-02-10
CUST000072,54,Male,50400,Texas,Free,2023-01-29
CUST000073,35,Male,20500,North Carolina,Free,2025-10-03
CUST000074,54,Male,31600,Texas,Free,2023-03-20
CUST000075,18,Male,47200,Pennsylvania,Free,2023-10-01
CUST000076,45,Male,62100,Ohio,Free,2023-03-06
CUST000077,37,Male,62600,Texas,Gold,2025-06-04
CUST000078,32,Male,55000,Pennsylvania,Free,2025-08-18
CUST000079,37,Male,49800,Pennsylvania,Free,2023-01-01
CUST000080,18,Female,44000,Pennsylvania,Bronze,2023-09-07
CUST000081,33,Female,35800,Texas,Free,2024-09-10
CUST000082,40,Male,112200,Florida,Free,2025-11-02
CUST000083,53,Male,82100,Texas,Free,2025-11-22
CUST000084,29,Male,65600,New York,Silver,2022-08-05
CUST000085,26,Male,27800,Florida,Bronze,2025-06-19
CUST000086,29,Male,27100,California,Bronze,2022-08-13
CUST000087,46,Male,48200,Washington,Free,2022-08-29
CUST000088,39,Male,37900,Texas,Free,2025-02-14
CUST000089,29,Female,27700,Texas,Free,2026-01-31
CUST000090,42,Female,51600,New York,Free,2022-05-23
CUST000091,37,Female,19100,Georgia,Free,2024-08-22
CUST000092,47,Female,46800,Washington,Bronze,2022-01-16
CUST000093,27,Male,63200,Florida,Free,2026-04-27
CUST000094,32,Female,62200,New York,Free,2025-05-08
CUST000095,31,Male,19900,New York,Free,2025-05-30
CUST000096,18,Female,19400,California,Bronze,2026-02-20
CUST000097,39,Female,44100,Texas,Free,2025-08-30
CUST000098,39,Male,35800,California,Silver,2022-12-11
CUST000099,36,Female,26700,New York,Free,2023-05-15
CUST000100,33,Male,18000,Ohio,Free,2023-04-23
CUST000101,19,Male,31500,Illinois,Bronze,2025-06-22
CUST000102,30,Female,46600,New York,Gold,2022-05-16
CUST000103,31,Male,43600,Florida,Bronze,2022-08-11
CUST000104,26,Female,26900,North Carolina,Bronze,2026-05-24
CUST000105,34,Male,29700,North Carolina,Free,2023-04-19
CUST000106,40,Male,41300,California,Free,2026-05-12
CUST000107,58,Female,32400,California,Free,2024-07-02
CUST000108,38,Female,57600,Pennsylvania,Free,2025-06-19
CUST000109,39,Male,64800,Florida,Silver,2024-08-14
CUST000110,35,Male,61500,New York,Bronze,2025-07-30
CUST000111,18,Female,28400,Texas,Silver,2025-09-08
CUST000112,35,Female,57900,North Carolina,Gold,2022-06-08
CUST000113,36,Male,58700,Georgia,Bronze,2025-07-15
CUST000114,65,Female,103100,Ohio,Bronze,2022-01-26
CUST000115,33,Female,131600,California,Bronze,2025-11-08
CUST000116,39,Male,91100,Pennsylvania,Free,2023-10-11
CUST000117,35,Male,39000,Pennsylvania,Free,2023-10-28
CUST000118,21,Male,33300,Ohio,Gold,2026-02-01
CUST000119,49,Female,44300,New York,Bronze,2026-05-26
CUST000120,45,Female,36800,Ohio,Free,2026-04-28
CUST000121,45,Female,139700,California,Free,2022-12-01
CUST000122,25,Female,79000,North Carolina,Bronze,2024-11-13
CUST000123,52,Female,66900,Washington,Free,2024-02-13
CUST000124,19,Male,73200,California,Gold,2025-06-24
CUST000125,43,Male,97300,California,Bronze,2024-08-31
CUST000126,62,Male,66800,Pennsylvania,Platinum,2024-12-17
CUST000127,24,Other,44600,New York,Free,2023-04-19
CUST000128,29,Female,71000,Georgia,Bronze,2024-05-12
CUST000129,37,Female,70700,Ohio,Gold,2022-02-15
CUST000130,29,Male,28000,California,Bronze,2024-08-04
CUST000131,18,Female,162800,Florida,Free,2024-06-23
CUST000132,36,Male,36100,Washington,Free,2023-06-15
CUST000133,23,Female,106000,Washington,Free,2025-03-31
CUST000134,41,Male,45200,Florida,Silver,2024-04-04
CUST000135,24,Male,87500,Georgia,Bronze,2023-09-10
CUST000136,54,Male,50400,New York,Bronze,2025-07-15
CUST000137,26,Female,23800,California,Free,2024-10-01
CUST000138,32,Female,83700,Florida,Free,2026-04-01
CUST000139,45,Male,102400,Pennsylvania,Free,2022-12-01
CUST000140,21,Female,48800,Illinois,Bronze,2024-08-13
CUST000141,38,Female,75300,California,Free,2024-01-23
CUST000142,51,Female,34700,Washington,Free,2022-12-16
CUST000143,18,Female,50600,Georgia,Free,2022-08-26
CUST000144,38,Male,85300,Illinois,Free,2023-11-27
CUST000145,39,Female,59300,New York,Gold,2024-04-26
CUST000146,45,Male,63300,Washington,Bronze,2026-03-28
CUST000147,21,Male,81900,Illinois,Silver,2024-08-22
CUST000148,20,Female,114000,California,Bronze,2024-07-06
CUST000149,42,Male,86300,Florida,Bronze,2022-05-01
CUST000150,39,Female,57900,California,Bronze,2024-10-26
CUST000151,39,Male,48700,California,Gold,2024-11-27
CUST000152,40,Male,54000,Pennsylvania,Free,2023-07-06
CUST000153,27,Female,25800,California,Free,2024-08-10
CUST000154,38,Female,56000,California,Free,2026-03-15
CUST000155,39,Female,27700,Texas,Free,2026-04-17
CUST000156,27,Male,40700,North Carolina,Free,2025-05-08
CUST000157,58,Female,71300,North Carolina,Bronze,2023-10-21
CUST000158,41,Male,40300,California,Free,2023-12-29
CUST000159,21,Male,99200,California,Free,2022-10-04
CUST000160,43,Female,48000,Ohio,Bronze,2023-12-17
CUST000161,24,Female,89500,Illinois,Bronze,2025-04-14
CUST000162,45,Male,42700,Illinois,Bronze,2024-07-27
CUST000163,49,Male,46500,Washington,Bronze,2024-09-16
CUST000164,26,Female,87300,North Carolina,Gold,2025-12-19
CUST000165,47,Female,44900,Florida,Free,2023-09-05
CUST000166,40,Male,59100,Ohio,Silver,2023-12-20
CUST000167,45,Female,39600,Illinois,Platinum,2024-07-06
CUST000168,58,Male,18000,Washington,Free,2025-07-29
CUST000169,33,Male,36400,Texas,Free,2025-02-27
CUST000170,26,Male,101800,Pennsylvania,Free,2023-09-10
CUST000171,25,Male,58000,Florida,Free,2024-04-15
CUST000172,26,Male,76600,Pennsylvania,Free,2024-02-04
CUST000173,35,Male,78000,New York,Gold,2024-03-27
CUST000174,40,Male,72400,Florida,Bronze,2022-08-12
CUST000175,39,Female,108800,Pennsylvania,Bronze,2022-11-27
CUST000176,45,Female,41800,North Carolina,Free,2024-06-28
CUST000177,36,Male,103000,Georgia,Bronze,2022-02-10
CUST000178,53,Male,68600,Pennsylvania,Bronze,2024-09-29
CUST000179,32,Male,61300,Georgia,Free,2026-03-22
CUST000180,68,Female,18000,Illinois,Bronze,2026-04-01
CUST000181,43,Female,59900,Illinois,Free,2025-10-02
CUST000182,25,Female,77600,Texas,Free,2022-04-20
CUST000183,23,Male,55100,Florida,Free,2023-06-30
CUST000184,41,Male,91600,New York,Free,2022-12-03
CUST000185,33,Male,93700,Florida,Gold,2024-08-10
CUST000186,44,Male,42600,Texas,Bronze,2022-12-24
CUST000187,41,Female,51800,California,Bronze,2025-03-10
CUST000188,35,Female,42900,Georgia,Free,2024-07-28
CUST000189,25,Female,39700,Texas,Gold,2025-01-03
CUST000190,18,Female,51500,Illinois,Bronze,2025-07-04
CUST000191,30,Male,55100,California,Free,2025-09-03
CUST000192,46,Female,18000,Texas,Bronze,2024-12-20
CUST000193,38,Female,48100,California,Free,2022-06-30
CUST000194,21,Male,60000,Florida,Gold,2025-04-07
CUST000195,38,Female,52300,Pennsylvania,Free,2024-03-01
CUST000196,40,Female,47300,Texas,Bronze,2022-08-04
CUST000197,25,Male,29600,Florida,Bronze,2024-02-18
CUST000198,37,Male,25500,Texas,Bronze,2025-05-21
CUST000199,36,Male,37600,Illinois,Gold,2024-07-31
CUST000200,22,Male,19800,Texas,Free,2026-05-05
CUST000201,40,Male,48000,New York,Free,2026-04-11
CUST000202,42,Female,32200,Georgia,Free,2026-03-16
CUST000203,48,Female,54200,California,Silver,2026-01-27
CUST000204,48,Male,37000,Illinois,Free,2023-10-29
CUST000205,19,Male,18500,North Carolina,Free,2024-07-19
CUST000206,24,Female,30000,Ohio,Free,2025-08-22
CUST000207,42,Male,53800,California,Free,2023-02-09
CUST000208,42,Male,72400,Florida,Free,2026-02-14
CUST000209,42,Female,42800,Florida,Free,2023-07-10
CUST000210,75,Male,55600,New York,Free,2024-11-01
CUST000211,42,Female,44700,California,Free,2026-04-23
CUST000212,49,Male,44000,Texas,Bronze,2024-06-07
CUST000213,47,Female,32700,New York,Silver,2023-12-08
CUST000214,43,Female,48300,California,Bronze,2022-05-02
CUST000215,32,Other,36100,Florida,Bronze,2026-01-28
CUST000216,45,Female,97600,North Carolina,Free,2024-01-14
CUST000217,26,Male,35000,Pennsylvania,Gold,2024-07-26
CUST000218,33,Male,53500,Illinois,Silver,2023-02-26
CUST000219,30,Male,28800,Texas,Silver,2024-09-15
CUST000220,36,Female,44400,Florida,Free,2026-02-03
CUST000221,63,Female,29600,California,Bronze,2025-05-15
CUST000222,18,Female,36900,Washington,Free,2024-09-17
CUST000223,44,Male,79800,Ohio,Silver,2024-02-20
CUST000224,18,Male,47900,New York,Platinum,2026-05-05
CUST000225,30,Male,74200,California,Bronze,2024-03-17
CUST000226,49,Female,44100,Illinois,Free,2022-12-11
CUST000227,36,Male,70800,Washington,Bronze,2023-04-05
CUST000228,23,Male,73800,Florida,Free,2024-03-04
CUST000229,27,Female,70000,North Carolina,Free,2024-06-08
CUST000230,44,Male,78900,Texas,Free,2024-06-12
CUST000231,27,Male,62600,California,Free,2022-01-31
CUST000232,38,Male,39600,Washington,Gold,2022-12-13
CUST000233,36,Female,24100,California,Free,2022-01-21
CUST000234,28,Female,33500,Ohio,Free,2022-01-30
CUST000235,61,Male,59600,Texas,Bronze,2025-12-22
CUST000236,43,Male,85500,California,Free,2025-10-05
CUST000237,18,Female,62600,Texas,Free,2025-06-10
CUST000238,38,Female,41900,Washington,Bronze,2025-09-22
CUST000239,28,Male,39600,California,Free,2024-01-22
CUST000240,46,Female,49900,Washington,Free,2022-11-15
CUST000241,26,Female,66400,North Carolina,Free,2025-05-08
CUST000242,34,Female,49900,Florida,Bronze,2026-03-29
CUST000243,42,Female,38200,Illinois,Bronze,2026-02-23
CUST000244,46,Male,32100,New York,Free,2025-10-21
CUST000245,21,Female,34300,North Carolina,Silver,2022-12-28
CUST000246,31,Male,34600,California,Bronze,2025-03-10
CUST000247,30,Female,47500,Florida,Bronze,2026-03-16
CUST000248,28,Female,32700,North Carolina,Bronze,2023-12-07
CUST000249,57,Female,37100,New York,Silver,2022-03-05
CUST000250,40,Male,69100,Washington,Silver,2024-01-11
CUST000251,20,Female,65700,Florida,Free,2022-05-13
CUST000252,47,Female,114500,Illinois,Silver,2025-05-27
CUST000253,61,Male,58100,North Carolina,Silver,2024-04-27
CUST000254,48,Male,24300,New York,Platinum,2026-04-02
CUST000255,18,Male,22700,Pennsylvania,Bronze,2022-04-29
CUST000256,30,Female,52200,Texas,Free,2022-04-06
CUST000257,51,Male,47900,New York,Free,2025-04-11
CUST000258,27,Male,43300,Florida,Free,2022-09-14
CUST000259,41,Male,27200,New York,Bronze,2023-06-13
CUST000260,45,Female,30300,Texas,Bronze,2024-10-25
CUST000261,24,Female,83900,New York,Bronze,2022-09-06
CUST000262,35,Male,81600,North Carolina,Free,2026-04-06
CUST000263,18,Female,56000,Florida,Free,2025-06-22
CUST000264,23,Female,67000,Washington,Bronze,2025-08-18
CUST000265,32,Male,27600,Texas,Free,2023-12-08
CUST000266,21,Male,57400,Washington,Free,2023-06-04
CUST000267,55,Female,35400,Florida,Free,2025-12-14
CUST000268,18,Female,91300,New York,Free,2022-01-20
CUST000269,30,Male,62400,Illinois,Silver,2025-06-19
CUST000270,37,Female,22600,Texas,Bronze,2023-07-11
CUST000271,53,Male,26600,North Carolina,Platinum,2024-05-11
CUST000272,18,Female,47100,North Carolina,Free,2022-03-01
CUST000273,49,Female,31100,Pennsylvania,Free,2023-04-28
CUST000274,36,Female,85700,Texas,Free,2025-02-16
CUST000275,24,Male,19400,North Carolina,Free,2022-07-15
CUST000276,41,Female,47300,California,Free,2025-04-11
CUST000277,38,Female,22200,New York,Free,2026-01-26
CUST000278,28,Female,40600,Illinois,Free,2024-06-11
CUST000279,36,Male,26400,Florida,Bronze,2025-12-19
CUST000280,31,Male,47300,North Carolina,Bronze,2025-02-08
CUST000281,37,Non-Binary,31000,California,Free,2024-06-25
CUST000282,43,Female,34700,New York,Free,2025-06-03
CUST000283,55,Male,83400,Pennsylvania,Bronze,2023-05-24
CUST000284,21,Male,39200,New York,Gold,2026-03-14
CUST000285,61,Male,18000,Texas,Free,2024-05-19
CUST000286,18,Male,45100,Ohio,Free,2024-01-07
CUST000287,34,Male,99400,North Carolina,Bronze,2023-12-15
CUST000288,43,Male,58700,Pennsylvania,Bronze,2025-09-09
CUST000289,39,Female,77800,New York,Free,2023-07-01
CUST000290,28,Male,36100,California,Free,2024-06-16
CUST000291,33,Other,67400,New York,Free,2023-02-14
CUST000292,30,Female,39000,New York,Bronze,2022-04-14
CUST000293,28,Male,57500,Washington,Free,2026-02-27
CUST000294,46,Female,88100,New York,Free,2025-07-12
CUST000295,40,Female,28600,Pennsylvania,Platinum,2022-10-09
CUST000296,27,Male,20000,California,Free,2023-08-31
CUST000297,46,Female,39700,Ohio,Free,2023-01-15
CUST000298,39,Male,57800,California,Platinum,2025-12-21
CUST000299,45,Female,111700,California,Bronze,2026-03-16
CUST000300,43,Female,51200,North Carolina,Free,2022-11-22
CUST000301,26,Male,67100,Georgia,Free,2024-03-07
CUST000302,29,Male,34800,Pennsylvania,Free,2026-04-04
CUST000303,44,Female,35300,Florida,Bronze,2025-12-12
CUST000304,43,Male,58300,Pennsylvania,Bronze,2023-12-19
CUST000305,35,Male,108400,Illinois,Free,2022-06-09
CUST000306,37,Female,49600,California,Free,2025-12-22
CUST000307,51,Female,56000,Washington,Silver,2024-04-01
CUST000308,28,Male,34900,California,Bronze,2022-12-02
CUST000309,42,Female,37000,New York,Platinum,2025-07-30
CUST000310,33,Male,85900,Texas,Free,2024-04-01
CUST000311,33,Female,23700,Florida,Free,2023-10-17
CUST000312,49,Female,33500,New York,Gold,2024-08-30
CUST000313,45,Female,43500,Illinois,Bronze,2023-10-08
CUST000314,45,Female,51800,California,Bronze,2024-05-01
CUST000315,51,Male,46900,New York,Free,2024-04-09
CUST000316,36,Female,72800,Florida,Bronze,2022-03-11
CUST000317,44,Female,214900,Pennsylvania,Free,2024-05-08
CUST000318,32,Female,28900,Pennsylvania,Free,2023-09-11
CUST000319,39,Male,56200,California,Free,2025-01-01
CUST000320,34,Female,35000,Texas,Free,2023-08-20
CUST000321,37,Female,78000,North Carolina,Free,2025-01-29
CUST000322,43,Female,123100,New York,Free,2022-04-24
CUST000323,26,Female,47700,Georgia,Free,2025-12-13
CUST000324,61,Female,81000,New York,Silver,2022-11-02
CUST000325,23,Male,30200,California,Silver,2026-02-18
CUST000326,21,Male,92400,California,Silver,2022-01-18
CUST000327,49,Female,116100,Pennsylvania,Free,2024-12-04
CUST000328,45,Male,45900,Pennsylvania,Free,2022-08-27
CUST000329,43,Female,68600,California,Free,2022-06-21
CUST000330,43,Male,26300,California,Free,2025-12-15
CUST000331,35,Male,36000,New York,Silver,2022-08-26
CUST000332,25,Other,64400,Illinois,Free,2023-04-12
CUST000333,36,Male,160600,Texas,Free,2022-03-11
CUST000334,27,Male,19700,Pennsylvania,Silver,2022-07-04
CUST000335,47,Male,54000,Washington,Silver,2022-05-28
CUST000336,34,Female,92200,Washington,Free,2026-02-01
CUST000337,26,Male,122400,California,Free,2024-08-21
CUST000338,32,Male,44400,Florida,Bronze,2025-10-14
CUST000339,40,Female,93700,Texas,Bronze,2024-09-03
CUST000340,29,Male,71000,New York,Gold,2022-08-27
CUST000341,26,Female,119200,Florida,Bronze,2023-07-12
CUST000342,38,Male,44400,Texas,Free,2023-06-07
CUST000343,38,Male,51500,New York,Bronze,2024-08-16
CUST000344,29,Female,36000,Texas,Gold,2024-04-28
CUST000345,30,Male,42300,New York,Free,2022-08-21
CUST000346,38,Male,42200,Pennsylvania,Free,2024-04-15
CUST000347,18,Female,32600,Washington,Bronze,2025-09-08
CUST000348,19,Female,120400,California,Bronze,2024-01-13
CUST000349,27,Female,50600,Florida,Silver,2025-05-04
CUST000350,33,Male,38600,Illinois,Gold,2025-04-19
CUST000351,39,Female,40100,California,Bronze,2023-08-09
CUST000352,53,Male,22600,California,Gold,2022-07-24
CUST000353,46,Female,66500,California,Bronze,2023-04-02
CUST000354,34,Female,31800,Pennsylvania,Silver,2024-01-29
CUST000355,35,Female,36100,Ohio,Free,2023-08-26
CUST000356,23,Male,86600,Illinois,Bronze,2026-03-18
CUST000357,35,Male,37500,Pennsylvania,Free,2023-11-28
CUST000358,32,Female,61700,Washington,Gold,2025-08-11
CUST000359,39,Female,37200,Georgia,Bronze,2022-05-26
CUST000360,26,Male,38000,Ohio,Bronze,2023-03-31
CUST000361,42,Female,35800,North Carolina,Free,2023-04-16
CUST000362,54,Male,44700,Georgia,Free,2024-01-17
CUST000363,34,Male,24500,Illinois,Free,2022-06-30
CUST000364,40,Female,71800,Texas,Gold,2025-09-21
CUST000365,44,Female,199700,Texas,Free,2023-05-20
CUST000366,31,Male,66000,Pennsylvania,Free,2025-06-23
CUST000367,38,Male,30900,North Carolina,Bronze,2025-10-21
CUST000368,36,Male,68700,Illinois,Bronze,2023-06-06
CUST000369,37,Female,22700,Ohio,Silver,2023-07-07
CUST000370,26,Male,33400,Illinois,Free,2025-05-04
CUST000371,36,Male,39400,Pennsylvania,Free,2025-02-05
CUST000372,41,Male,82700,North Carolina,Free,2022-07-23
CUST000373,53,Male,69500,Washington,Gold,2022-01-08
CUST000374,47,Female,24000,Illinois,Free,2023-08-11
CUST000375,61,Male,73700,Ohio,Silver,2023-08-21
CUST000376,26,Male,37100,Georgia,Free,2024-07-11
CUST000377,46,Female,66400,Ohio,Gold,2026-01-05
CUST000378,38,Female,33500,Washington,Free,2023-02-28
CUST000379,62,Male,46500,Georgia,Free,2023-09-02
CUST000380,26,Female,32500,New York,Silver,2025-05-27
CUST000381,25,Female,46600,New York,Platinum,2022-03-04
CUST000382,28,Male,27100,Texas,Silver,2023-08-19
CUST000383,18,Female,32000,North Carolina,Silver,2024-05-29
CUST000384,29,Male,35700,New York,Free,2025-12-31
CUST000385,26,Female,30200,California,Free,2023-04-15
CUST000386,37,Female,40600,Washington,Free,2024-12-21
CUST000387,40,Female,51100,Texas,Free,2023-08-27
CUST000388,58,Female,95200,California,Bronze,2022-06-07
CUST000389,47,Female,28000,Pennsylvania,Free,2025-12-10
CUST000390,29,Male,29200,North Carolina,Gold,2023-07-26
CUST000391,25,Female,49800,Pennsylvania,Free,2023-06-13
CUST000392,41,Female,21600,Georgia,Silver,2023-04-15
CUST000393,20,Male,55400,New York,Bronze,2023-01-23
CUST000394,57,Male,49400,North Carolina,Free,2022-04-07
CUST000395,50,Female,64400,Texas,Bronze,2022-10-28
CUST000396,30,Male,150100,Pennsylvania,Silver,2024-08-11
CUST000397,18,Female,50500,Texas,Gold,2025-09-18
CUST000398,52,Male,37400,Florida,Bronze,2024-04-21
CUST000399,34,Female,79300,Pennsylvania,Free,2025-01-26
CUST000400,50,Male,48700,New York,Free,2023-04-23
CUST000401,18,Male,45200,Texas,Gold,2022-11-13
CUST000402,28,Male,119800,Washington,Bronze,2025-04-13
CUST000403,36,Female,71300,North Carolina,Bronze,2024-01-07
CUST000404,36,Male,30500,New York,Free,2022-01-12
CUST000405,30,Male,30900,Pennsylvania,Silver,2023-05-22
CUST000406,43,Male,25100,Texas,Free,2022-08-27
CUST000407,23,Female,28300,Texas,Free,2023-09-12
CUST000408,34,Female,86200,Texas,Bronze,2024-11-26
CUST000409,37,Male,38000,Georgia,Free,2026-03-27
CUST000410,42,Female,20100,New York,Free,2026-02-14
CUST000411,44,Female,61600,Illinois,Free,2024-12-21
CUST000412,22,Female,53400,Texas,Free,2024-11-16
CUST000413,18,Female,39200,Ohio,Silver,2022-10-19
CUST000414,51,Male,35700,Georgia,Free,2023-06-04
CUST000415,39,Female,49500,Texas,Gold,2025-12-22
CUST000416,27,Male,50800,Florida,Bronze,2023-01-10
CUST000417,54,Male,59900,Texas,Free,2024-07-11
CUST000418,37,Female,20400,Texas,Free,2025-10-07
CUST000419,50,Male,28300,Georgia,Bronze,2023-11-24
CUST000420,36,Male,39200,Florida,Free,2025-06-08
CUST000421,60,Male,25200,New York,Free,2022-10-05
CUST000422,57,Female,62200,North Carolina,Gold,2024-07-31
CUST000423,33,Male,68700,Florida,Free,2022-10-11
CUST000424,47,Male,36200,New York,Bronze,2025-05-05
CUST000425,43,Female,68300,California,Platinum,2025-10-13
CUST000426,52,Male,54900,Illinois,Free,2025-05-28
CUST000427,24,Female,55100,Pennsylvania,Free,2023-11-23
CUST000428,44,Male,18000,North Carolina,Gold,2024-01-22
CUST000429,48,Female,44500,Ohio,Free,2025-02-18
CUST000430,18,Male,36300,Texas,Platinum,2022-12-27
CUST000431,21,Male,45700,Georgia,Silver,2024-04-03
CUST000432,18,Female,39600,Georgia,Free,2023-09-16
CUST000433,32,Female,26900,North Carolina,Free,2024-05-22
CUST000434,44,Female,41500,Texas,Free,2022-06-03
CUST000435,54,Female,39800,Florida,Free,2024-05-14
CUST000436,36,Male,77000,California,Free,2024-08-03
CUST000437,55,Female,45700,New York,Free,2024-12-20
CUST000438,19,Male,36800,California,Free,2026-03-27
CUST000439,18,Male,26300,Georgia,Free,2025-01-27
CUST000440,35,Female,191700,California,Free,2024-07-28
CUST000441,40,Male,80600,Texas,Silver,2022-09-24
CUST000442,35,Female,53200,New York,Bronze,2023-08-23
CUST000443,18,Male,24100,Florida,Free,2023-02-24
CUST000444,34,Female,22900,Illinois,Free,2025-07-27
CUST000445,20,Male,113000,New York,Free,2025-07-12
CUST000446,44,Female,109700,California,Free,2026-02-11
CUST000447,40,Male,56200,New York,Silver,2023-09-19
CUST000448,24,Male,32700,California,Gold,2024-11-13
CUST000449,29,Male,37300,Washington,Bronze,2023-08-02
CUST000450,23,Male,31700,Pennsylvania,Bronze,2023-08-18
CUST000451,35,Male,138500,Florida,Free,2024-06-04
CUST000452,47,Male,44300,Pennsylvania,Free,2026-05-03
CUST000453,24,Male,73600,Illinois,Free,2025-11-06
CUST000454,42,Male,79000,Florida,Free,2022-01-11
CUST000455,29,Female,25800,California,Gold,2024-11-15
CUST000456,26,Male,51000,Texas,Silver,2022-04-23
CUST000457,34,Female,42600,California,Free,2024-06-30
CUST000458,23,Female,93300,Texas,Free,2023-11-18
CUST000459,29,Female,66300,Texas,Free,2026-04-29
CUST000460,21,Male,47700,Washington,Silver,2025-12-12
CUST000461,59,Male,52800,New York,Platinum,2025-06-07
CUST000462,36,Female,34800,Georgia,Free,2023-05-11
CUST000463,27,Male,30500,Georgia,Free,2024-05-30
CUST000464,38,Male,33600,Florida,Bronze,2023-11-12
CUST000465,34,Female,62800,Georgia,Free,2022-08-21
CUST000466,33,Male,77600,Ohio,Free,2022-08-13
CUST000467,43,Female,67200,Ohio,Free,2022-05-11
CUST000468,45,Female,22400,Illinois,Free,2022-08-17
CUST000469,29,Male,57600,California,Silver,2026-04-12
CUST000470,29,Female,66600,Washington,Platinum,2024-07-15
CUST000471,32,Female,114900,Pennsylvania,Bronze,2024-01-06
CUST000472,18,Female,25100,Washington,Free,2023-12-31
CUST000473,18,Female,83800,New York,Bronze,2026-05-10
CUST000474,52,Male,108800,Florida,Free,2023-09-21
CUST000475,55,Female,28300,Georgia,Bronze,2024-04-29
CUST000476,33,Female,67800,Florida,Bronze,2023-08-22
CUST000477,42,Male,21000,Florida,Bronze,2025-10-03
CUST000478,39,Female,48400,New York,Silver,2024-10-27
CUST000479,72,Male,29200,Florida,Free,2022-11-19
